"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0032368","regulation of lipid transport","BP",116,2,6,0.807912739936929,0.424990842415381
"GO:0032370","positive regulation of lipid transport","BP",75,1,6,0.86180826746686,0.121735447982469
"GO:0032371","regulation of sterol transport","BP",44,2,0,0.317482007700882,1
"GO:0032373","positive regulation of sterol transport","BP",28,1,0,0.521808285943347,1
"GO:0032374","regulation of cholesterol transport","BP",44,2,0,0.317482007700882,1
"GO:0032376","positive regulation of cholesterol transport","BP",28,1,0,0.521808285943347,1
"GO:0032488","Cdc42 protein signal transduction","BP",11,0,1,1,0.397964923952318
"GO:0032489","regulation of Cdc42 protein signal transduction","BP",5,0,0,1,1
"GO:0032496","response to lipopolysaccharide","BP",288,4,26,0.944052553348527,0.000613056225723928
"GO:0032526","response to retinoic acid","BP",86,1,7,0.89670787384389,0.0927670565663603
"GO:0032879","regulation of localization","BP",1863,50,103,0.425347829603212,0.0154809365587439
"GO:0032940","secretion by cell","BP",776,21,45,0.455743926122467,0.0492946080750194
"GO:0033036","macromolecule localization","BP",2722,62,121,0.890630436610095,0.583804037168929
"GO:0033273","response to vitamin","BP",79,2,7,0.612371458115014,0.0650354146126919
"GO:0033344","cholesterol efflux","BP",43,2,1,0.307859841839046,0.862716201272409
"GO:0033363","secretory granule organization","BP",61,1,0,0.799901871629187,1
"GO:0033552","response to vitamin B3","BP",3,0,1,1,0.129211744250714
"GO:0033700","phospholipid efflux","BP",9,0,0,1,1
"GO:0033993","response to lipid","BP",769,17,46,0.787496102766092,0.0303882549452544
"GO:0034097","response to cytokine","BP",877,23,58,0.512623857779417,0.0021211065094001
"GO:0034204","lipid translocation","BP",50,1,2,0.732420575753075,0.66556292683817
"GO:0034377","plasma lipoprotein particle assembly","BP",15,0,0,1,1
"GO:0034380","high-density lipoprotein particle assembly","BP",5,0,0,1,1
"GO:0034405","response to fluid shear stress","BP",33,1,2,0.580891027170854,0.441832559274966
"GO:0034616","response to laminar fluid shear stress","BP",11,1,2,0.25148823199007,0.0852079234448402
"GO:0035023","regulation of Rho protein signal transduction","BP",80,4,3,0.15456209758421,0.705472496557052
"GO:0035556","intracellular signal transduction","BP",2558,77,159,0.0880465912726172,7.53314044392103e-06
"GO:0035592","establishment of protein localization to extracellular region","BP",348,16,19,0.0200542813398348,0.22551174725999
"GO:0036314","response to sterol","BP",25,1,1,0.482442993297841,0.684564099014096
"GO:0036315","cellular response to sterol","BP",20,1,1,0.409522165633409,0.60263057954431
"GO:0038027","apolipoprotein A-I-mediated signaling pathway","BP",5,0,0,1,1
"GO:0042157","lipoprotein metabolic process","BP",85,3,2,0.380405008981901,0.901171252702997
"GO:0042158","lipoprotein biosynthetic process","BP",57,2,0,0.438189706040625,1
"GO:0042221","response to chemical","BP",2991,83,154,0.267708383574461,0.0349727712415892
"GO:0042592","homeostatic process","BP",1528,48,81,0.0956857056994534,0.0678572592810064
"GO:0042632","cholesterol homeostasis","BP",78,3,2,0.330590752992236,0.872352431079958
"GO:0042886","amide transport","BP",308,10,22,0.280729080389858,0.0226104533209777
"GO:0043207","response to external biotic stimulus","BP",1215,28,86,0.774382108853684,1.66925130041519e-05
"GO:0043254","regulation of protein-containing complex assembly","BP",410,13,17,0.270094890748574,0.673568658554536
"GO:0043691","reverse cholesterol transport","BP",7,0,0,1,1
"GO:0043933","protein-containing complex organization","BP",1577,29,84,0.984810804655015,0.0583159302383384
"GO:0044085","cellular component biogenesis","BP",2966,61,180,0.985106496267283,6.76452391441373e-06
"GO:0044087","regulation of cellular component biogenesis","BP",983,30,38,0.203274274984282,0.860990982788399
"GO:0044089","positive regulation of cellular component biogenesis","BP",492,16,21,0.21190863684932,0.633811112313921
"GO:0044281","small molecule metabolic process","BP",1475,43,69,0.232958839815512,0.389012255291414
"GO:0044419","biological process involved in interspecies interaction between organisms","BP",1333,29,88,0.866620971618812,0.000164129549814786
"GO:0045184","establishment of protein localization","BP",1599,36,55,0.84219513734394,0.989396443105686
"GO:0045332","phospholipid translocation","BP",45,1,2,0.694654885153102,0.608254911840345
"GO:0046903","secretion","BP",877,25,52,0.344315825816069,0.0257786698959115
"GO:0046907","intracellular transport","BP",1277,28,31,0.852092419826705,0.999980980256927
"GO:0048518","positive regulation of biological process","BP",5292,146,288,0.197204534884998,4.10249404330626e-05
"GO:0048522","positive regulation of cellular process","BP",5047,136,272,0.317586539346592,0.000170534233040403
"GO:0048583","regulation of response to stimulus","BP",3404,106,195,0.0204322227919722,9.19415959773053e-05
"GO:0048878","chemical homeostasis","BP",877,29,36,0.108504433510498,0.74599162961607
"GO:0050789","regulation of biological process","BP",8855,258,455,0.00257408587773759,7.07500847195191e-06
"GO:0050794","regulation of cellular process","BP",8592,249,435,0.00521089182340454,0.000117704482044389
"GO:0050896","response to stimulus","BP",6687,201,371,0.00340527615926451,4.37891702226328e-08
"GO:0051049","regulation of transport","BP",1486,44,87,0.198993697544038,0.00643794789814655
"GO:0051050","positive regulation of transport","BP",832,25,56,0.253255309996246,0.00171104072294427
"GO:0051056","regulation of small GTPase mediated signal transduction","BP",226,5,12,0.702749209917702,0.321547020007409
"GO:0051128","regulation of cellular component organization","BP",2331,66,140,0.240468987937904,0.00016015473371203
"GO:0051130","positive regulation of cellular component organization","BP",1129,31,65,0.400727624848317,0.0241395599685349
"GO:0051179","localization","BP",4477,105,244,0.906553813138199,0.000232768719586282
"GO:0051234","establishment of localization","BP",3915,92,212,0.882842855081797,0.00108721705708655
"GO:0051239","regulation of multicellular organismal process","BP",2576,78,161,0.0779889997583072,4.68830623698139e-06
"GO:0051240","positive regulation of multicellular organismal process","BP",1485,39,99,0.496853020929181,4.19285891809029e-05
"GO:0051641","cellular localization","BP",3149,74,144,0.851626373785712,0.436351456770213
"GO:0051649","establishment of localization in cell","BP",1861,40,86,0.918171597307282,0.418040256632702
"GO:0051707","response to other organism","BP",1214,28,85,0.772942330658907,2.79651450869691e-05
"GO:0051716","cellular response to stimulus","BP",5503,168,295,0.00529719906559829,0.00010382836425465
"GO:0055085","transmembrane transport","BP",1167,28,71,0.698788279659639,0.00570978399999884
"GO:0055088","lipid homeostasis","BP",142,4,4,0.506164701883362,0.887781733995818
"GO:0055091","phospholipid homeostasis","BP",14,0,0,1,1
"GO:0055092","sterol homeostasis","BP",79,3,2,0.33773165621235,0.876897607181218
"GO:0060155","platelet dense granule organization","BP",21,0,0,1,1
"GO:0061024","membrane organization","BP",718,22,29,0.241366321274287,0.757450811114416
"GO:0065003","protein-containing complex assembly","BP",1401,24,75,0.991477561051276,0.0652014248158632
"GO:0065005","protein-lipid complex assembly","BP",19,0,0,1,1
"GO:0065007","biological regulation","BP",9134,264,464,0.00360040740879696,2.17782168506013e-05
"GO:0065008","regulation of biological quality","BP",2521,77,129,0.068528016771514,0.0611215428973658
"GO:0070723","response to cholesterol","BP",20,0,1,1,0.60263057954431
"GO:0070727","cellular macromolecule localization","BP",2387,57,102,0.777831072244063,0.740493482171128
"GO:0070887","cellular response to chemical stimulus","BP",1803,46,92,0.576580760093711,0.10949496796325
"GO:0071216","cellular response to biotic stimulus","BP",216,2,17,0.977690097150269,0.0184250102272191
"GO:0071219","cellular response to molecule of bacterial origin","BP",190,2,16,0.96000871419454,0.0121794169662078
"GO:0071222","cellular response to lipopolysaccharide","BP",183,2,15,0.953312561947199,0.0186209679536339
"GO:0071300","cellular response to retinoic acid","BP",43,1,4,0.67809992827652,0.127237234158256
"GO:0071345","cellular response to cytokine stimulus","BP",784,21,53,0.474905218731249,0.0020577966639696
"GO:0071396","cellular response to lipid","BP",501,10,29,0.843002669991686,0.100517258763147
"GO:0071397","cellular response to cholesterol","BP",15,0,1,1,0.499452875685765
"GO:0071466","cellular response to xenobiotic stimulus","BP",123,3,8,0.623470322809247,0.19090581642714
"GO:0071692","protein localization to extracellular region","BP",353,16,20,0.0225547226688379,0.174050113522133
"GO:0071705","nitrogen compound transport","BP",1728,35,67,0.956087959234257,0.921348052528657
"GO:0071806","protein transmembrane transport","BP",66,0,1,1,0.952646934067197
"GO:0071825","protein-lipid complex organization","BP",32,0,0,1,1
"GO:0071827","plasma lipoprotein particle organization","BP",28,0,0,1,1
"GO:0080171","lytic vacuole organization","BP",96,1,3,0.920737800727986,0.813419241056555
"GO:0090107","regulation of high-density lipoprotein particle assembly","BP",3,0,0,1,1
"GO:0090108","positive regulation of high-density lipoprotein particle assembly","BP",2,0,0,1,1
"GO:0097006","regulation of plasma lipoprotein particle levels","BP",50,1,0,0.732420575753075,1
"GO:0097035","regulation of membrane lipid distribution","BP",55,1,2,0.765525376785707,0.715916135719309
"GO:0097305","response to alcohol","BP",240,7,24,0.432226374394585,0.000222317620797852
"GO:0097306","cellular response to alcohol","BP",96,5,8,0.104772290543758,0.0678091148086266
"GO:0098657","import into cell","BP",782,16,46,0.868952683366835,0.0387119307464769
"GO:0099024","plasma membrane invagination","BP",50,2,5,0.374393007640449,0.0735126585758832
"GO:0099039","sphingolipid translocation","BP",5,0,0,1,1
"GO:0140115","export across plasma membrane","BP",60,0,5,1,0.132800778393426
"GO:0140352","export from cell","BP",835,21,49,0.593778990978171,0.0348951522452827
"GO:0141124","intracellular signaling cassette","BP",1578,55,93,0.0146702610018355,0.00405158469696083
"GO:1901652","response to peptide","BP",891,24,59,0.457684560636462,0.00189167223171712
"GO:1901700","response to oxygen-containing compound","BP",1499,37,82,0.655192212328311,0.0365995753009915
"GO:1901701","cellular response to oxygen-containing compound","BP",1065,26,63,0.659275777106179,0.0157744890961238
"GO:1902531","regulation of intracellular signal transduction","BP",1715,49,106,0.259178058500092,0.000419377103378531
"GO:1902652","secondary alcohol metabolic process","BP",129,15,3,1.29074055683093e-06,0.934305801905921
"GO:1905952","regulation of lipid localization","BP",143,3,9,0.722258684382391,0.196776708375512
"GO:1905954","positive regulation of lipid localization","BP",93,2,9,0.700001969887789,0.0241766022133223
"GO:0001523","retinoid metabolic process","BP",39,3,4,0.0800800539065595,0.097222634140311
"GO:0001894","tissue homeostasis","BP",249,8,23,0.321073032000949,0.000907927190936536
"GO:0001895","retina homeostasis","BP",50,2,1,0.374393007640449,0.900687975286937
"GO:0003008","system process","BP",1441,60,83,0.000166259882531882,0.0114783095945179
"GO:0006081","aldehyde metabolic process","BP",69,3,2,0.266538867279829,0.82397764344138
"GO:0006649","phospholipid transfer to membrane","BP",2,0,0,1,1
"GO:0006720","isoprenoid metabolic process","BP",70,10,4,1.23868946886628e-05,0.38822963559985
"GO:0006721","terpenoid metabolic process","BP",51,7,4,0.000327656517207726,0.196729630058033
"GO:0007600","sensory perception","BP",348,15,25,0.0388999811791545,0.0148392764903034
"GO:0007601","visual perception","BP",87,3,5,0.394512351473009,0.355262584237087
"GO:0016101","diterpenoid metabolic process","BP",43,3,4,0.100416391949717,0.127237234158256
"GO:0042574","retinal metabolic process","BP",9,0,1,1,0.339759220087731
"GO:0045494","photoreceptor cell maintenance","BP",35,2,0,0.230429609905539,1
"GO:0048871","multicellular organismal-level homeostasis","BP",795,24,59,0.251503708254546,0.000108777259171808
"GO:0050877","nervous system process","BP",845,32,47,0.0211037751094103,0.0787287366710573
"GO:0050953","sensory perception of light stimulus","BP",89,3,5,0.408534810144635,0.373329333636496
"GO:0060249","anatomical structure homeostasis","BP",249,8,23,0.321073032000949,0.000907927190936536
"GO:0120254","olefinic compound metabolic process","BP",96,6,6,0.0389567952833406,0.264735786620681
"GO:0001573","ganglioside metabolic process","BP",25,1,4,0.482442993297841,0.0243418353754132
"GO:0006486","protein glycosylation","BP",193,2,6,0.962587918341894,0.872124442985961
"GO:0006643","membrane lipid metabolic process","BP",178,3,9,0.845129515563846,0.41058110354941
"GO:0006644","phospholipid metabolic process","BP",328,12,9,0.14811955461244,0.962832301197561
"GO:0006664","glycolipid metabolic process","BP",88,2,5,0.670755723767619,0.364293819272037
"GO:0006665","sphingolipid metabolic process","BP",132,3,8,0.670655896747822,0.245023775040027
"GO:0006670","sphingosine metabolic process","BP",18,1,0,0.377561321601147,1
"GO:0006672","ceramide metabolic process","BP",92,2,5,0.694330288354084,0.400413515938238
"GO:0006684","sphingomyelin metabolic process","BP",20,0,1,1,0.60263057954431
"GO:0006687","glycosphingolipid metabolic process","BP",49,2,5,0.365027326588466,0.0685779324970202
"GO:0006898","receptor-mediated endocytosis","BP",241,5,13,0.754195378323821,0.292352163536553
"GO:0007272","ensheathment of neurons","BP",167,7,10,0.145122335617577,0.221710157368845
"GO:0007610","behavior","BP",628,20,30,0.203727481709005,0.397132846649836
"GO:0007626","locomotory behavior","BP",215,8,9,0.197617673058191,0.63724051159909
"GO:0008366","axon ensheathment","BP",167,7,10,0.145122335617577,0.221710157368845
"GO:0008610","lipid biosynthetic process","BP",581,23,25,0.0301781884555298,0.624645621167607
"GO:0008654","phospholipid biosynthetic process","BP",206,6,6,0.446768610581257,0.907179427797313
"GO:0009056","catabolic process","BP",2289,51,86,0.900930629538333,0.975036411843189
"GO:0009057","macromolecule catabolic process","BP",1343,31,49,0.7820974510527,0.954318282530336
"GO:0009100","glycoprotein metabolic process","BP",332,4,11,0.974904358819866,0.887851071731473
"GO:0009101","glycoprotein biosynthetic process","BP",277,4,10,0.932176776471753,0.80587308395096
"GO:0009653","anatomical structure morphogenesis","BP",2396,79,113,0.0135129467484502,0.311452662139598
"GO:0009719","response to endogenous stimulus","BP",1347,44,65,0.067276723257581,0.296840413325647
"GO:0009725","response to hormone","BP",833,26,37,0.191545074477739,0.562044870817123
"GO:0009889","regulation of biosynthetic process","BP",4226,110,189,0.510152202956768,0.565198046590086
"GO:0009890","negative regulation of biosynthetic process","BP",1933,51,92,0.475844093038163,0.300498733727906
"GO:0009891","positive regulation of biosynthetic process","BP",2282,53,123,0.832954109814026,0.0175579052892532
"GO:0009892","negative regulation of metabolic process","BP",2470,72,115,0.156329378296888,0.364749666788119
"GO:0009893","positive regulation of metabolic process","BP",3097,72,157,0.871667666009159,0.0523407276427013
"GO:0009894","regulation of catabolic process","BP",925,28,35,0.225877355291385,0.881863574616146
"GO:0009896","positive regulation of catabolic process","BP",501,14,11,0.428786036327994,0.998119345218403
"GO:0010001","glial cell differentiation","BP",246,10,15,0.108961438852295,0.145570617644188
"GO:0010556","regulation of macromolecule biosynthetic process","BP",4067,104,185,0.594822886168471,0.455311234117676
"GO:0010557","positive regulation of macromolecule biosynthetic process","BP",2177,48,120,0.908129520872535,0.00991501254984761
"GO:0010559","regulation of glycoprotein biosynthetic process","BP",39,1,1,0.642256010816973,0.834825436698189
"GO:0010560","positive regulation of glycoprotein biosynthetic process","BP",22,1,0,0.439845716296456,1
"GO:0010563","negative regulation of phosphorus metabolic process","BP",339,12,23,0.17378715461416,0.0336797447053841
"GO:0010604","positive regulation of macromolecule metabolic process","BP",2833,60,149,0.969655447243727,0.0200092455343505
"GO:0010927","cellular component assembly involved in morphogenesis","BP",119,6,5,0.0899775956795759,0.62668584452487
"GO:0014003","oligodendrocyte development","BP",45,0,3,1,0.331048778761882
"GO:0019216","regulation of lipid metabolic process","BP",304,11,17,0.169436494890835,0.212408849251839
"GO:0019218","regulation of steroid metabolic process","BP",93,9,4,0.000692319008002444,0.608755522161005
"GO:0019220","regulation of phosphate metabolic process","BP",971,24,62,0.630955061289645,0.00339547088491698
"GO:0019222","regulation of metabolic process","BP",5241,141,241,0.320848672827152,0.361609589725715
"GO:0019637","organophosphate metabolic process","BP",938,19,41,0.896592645945342,0.605621758057666
"GO:0019725","cellular homeostasis","BP",709,23,28,0.161524041414874,0.793100619010071
"GO:0019751","polyol metabolic process","BP",91,5,1,0.0882117333748913,0.985137648704622
"GO:0021782","glial cell development","BP",128,6,13,0.116677162241614,0.00511986776186772
"GO:0022008","neurogenesis","BP",1652,58,72,0.0106771148835047,0.639548730432715
"GO:0022010","central nervous system myelination","BP",27,0,3,1,0.119975863253247
"GO:0030100","regulation of endocytosis","BP",295,9,14,0.359625868733998,0.460379235666554
"GO:0030148","sphingolipid biosynthetic process","BP",87,2,4,0.664637073425623,0.555673665967098
"GO:0030154","cell differentiation","BP",3733,130,194,9.98840636300501e-05,0.012052755500467
"GO:0030163","protein catabolic process","BP",991,24,35,0.6703740875723,0.95011763087846
"GO:0031399","regulation of protein modification process","BP",1060,28,64,0.492269661864428,0.00996726624395033
"GO:0032288","myelin assembly","BP",25,0,2,1,0.311785816295568
"GO:0032289","central nervous system myelin formation","BP",7,0,1,1,0.275934832300627
"GO:0032291","axon ensheathment in central nervous system","BP",27,0,3,1,0.119975863253247
"GO:0032369","negative regulation of lipid transport","BP",26,1,0,0.495911388548978,1
"GO:0032372","negative regulation of sterol transport","BP",7,1,0,0.168322513896886,1
"GO:0032375","negative regulation of cholesterol transport","BP",7,1,0,0.168322513896886,1
"GO:0032377","regulation of intracellular lipid transport","BP",9,0,0,1,1
"GO:0032378","negative regulation of intracellular lipid transport","BP",2,0,0,1,1
"GO:0032380","regulation of intracellular sterol transport","BP",8,0,0,1,1
"GO:0032381","negative regulation of intracellular sterol transport","BP",2,0,0,1,1
"GO:0032383","regulation of intracellular cholesterol transport","BP",8,0,0,1,1
"GO:0032384","negative regulation of intracellular cholesterol transport","BP",2,0,0,1,1
"GO:0032386","regulation of intracellular transport","BP",286,7,11,0.616738952584247,0.746931788163893
"GO:0032387","negative regulation of intracellular transport","BP",55,3,2,0.171421215440554,0.715916135719309
"GO:0032799","low-density lipoprotein receptor particle metabolic process","BP",6,0,0,1,1
"GO:0032801","receptor catabolic process","BP",30,0,2,1,0.394432355569107
"GO:0032802","low-density lipoprotein particle receptor catabolic process","BP",6,0,0,1,1
"GO:0032803","regulation of low-density lipoprotein particle receptor catabolic process","BP",6,0,0,1,1
"GO:0032805","positive regulation of low-density lipoprotein particle receptor catabolic process","BP",3,0,0,1,1
"GO:0032880","regulation of protein localization","BP",894,25,42,0.380789480139145,0.412151969821073
"GO:0032989","cellular anatomical entity morphogenesis","BP",119,6,5,0.0899775956795759,0.62668584452487
"GO:0034205","amyloid-beta formation","BP",46,0,1,1,0.880501469802054
"GO:0034248","regulation of amide metabolic process","BP",68,0,3,1,0.597024768428753
"GO:0034250","positive regulation of amide metabolic process","BP",30,0,2,1,0.394432355569107
"GO:0034311","diol metabolic process","BP",28,1,0,0.521808285943347,1
"GO:0034312","diol biosynthetic process","BP",21,0,0,1,1
"GO:0034394","protein localization to cell surface","BP",69,5,4,0.0334711041685282,0.377903650633936
"GO:0035627","ceramide transport","BP",14,0,0,1,1
"GO:0042063","gliogenesis","BP",340,12,24,0.176223151279895,0.0202381609197213
"GO:0042176","regulation of protein catabolic process","BP",349,13,14,0.12384084143721,0.710897059286757
"GO:0042552","myelination","BP",166,7,10,0.141983041735945,0.216452228734426
"GO:0042982","amyloid precursor protein metabolic process","BP",73,1,1,0.854300900365453,0.965761210700455
"GO:0042983","amyloid precursor protein biosynthetic process","BP",13,0,0,1,1
"GO:0042984","regulation of amyloid precursor protein biosynthetic process","BP",13,0,0,1,1
"GO:0042986","positive regulation of amyloid precursor protein biosynthetic process","BP",4,0,0,1,1
"GO:0042987","amyloid precursor protein catabolic process","BP",58,1,1,0.783392849445208,0.931416892932751
"GO:0043112","receptor metabolic process","BP",77,1,3,0.868929707513537,0.680639671581874
"GO:0043413","macromolecule glycosylation","BP",193,2,6,0.962587918341894,0.872124442985961
"GO:0043603","amide metabolic process","BP",401,11,23,0.470497539422873,0.140898654350631
"GO:0043687","post-translational protein modification","BP",885,15,36,0.973758454701941,0.764595550192711
