"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0015748","organophosphate ester transport","BP",132,23,13,0.0157602783818068,0.520627580945149
"GO:0015833","peptide transport","BP",274,38,36,0.0724173616663101,0.0374124626047408
"GO:0015850","organic hydroxy compound transport","BP",220,37,24,0.00499987016208451,0.302800019269093
"GO:0015914","phospholipid transport","BP",78,9,8,0.483094895880644,0.489761985393957
"GO:0015918","sterol transport","BP",88,16,8,0.0276677565909009,0.630124594407592
"GO:0016050","vesicle organization","BP",344,45,32,0.113896855137352,0.627376279511994
"GO:0016125","sterol metabolic process","BP",125,38,18,2.31406963686424e-09,0.0574376526039133
"GO:0016192","vesicle-mediated transport","BP",1394,169,151,0.0722801488397017,0.0757911492154916
"GO:0016197","endosomal transport","BP",272,21,25,0.969222984753363,0.643549951425057
"GO:0022607","cellular component assembly","BP",2707,254,306,0.998075429982193,0.00130770166853913
"GO:0023051","regulation of signaling","BP",3039,344,428,0.22237154394328,1.98368449416288e-18
"GO:0023052","signaling","BP",4720,540,638,0.0881077758912795,4.06072481929684e-25
"GO:0023061","signal release","BP",478,57,65,0.256440023216681,0.00322198178669109
"GO:0030301","cholesterol transport","BP",84,15,8,0.0372575860038387,0.576366970255138
"GO:0031334","positive regulation of protein-containing complex assembly","BP",195,22,41,0.468604217131214,1.48437345413568e-06
"GO:0031667","response to nutrient levels","BP",469,62,56,0.0634942725646221,0.059856954461685
"GO:0032365","intracellular lipid transport","BP",42,8,4,0.0813282061604979,0.591934220991028
"GO:0032366","intracellular sterol transport","BP",32,7,4,0.0535251385190087,0.377324590651498
"GO:0032367","intracellular cholesterol transport","BP",29,6,4,0.0892678790998508,0.308721864103658
"GO:0032368","regulation of lipid transport","BP",116,23,14,0.00324866103062768,0.233357098092196
"GO:0032370","positive regulation of lipid transport","BP",75,16,12,0.00627451715627057,0.056611311253206
"GO:0032371","regulation of sterol transport","BP",44,7,4,0.199267226533409,0.629432401023346
"GO:0032373","positive regulation of sterol transport","BP",28,5,4,0.184351743250384,0.286068050873071
"GO:0032374","regulation of cholesterol transport","BP",44,7,4,0.199267226533409,0.629432401023346
"GO:0032376","positive regulation of cholesterol transport","BP",28,5,4,0.184351743250384,0.286068050873071
"GO:0032488","Cdc42 protein signal transduction","BP",11,2,2,0.341636100976926,0.289990949054887
"GO:0032489","regulation of Cdc42 protein signal transduction","BP",5,1,1,0.43899952470626,0.399748899156237
"GO:0032496","response to lipopolysaccharide","BP",288,31,49,0.561794642735949,6.91132138608489e-05
"GO:0032526","response to retinoic acid","BP",86,9,14,0.604853585994937,0.0367627970507657
"GO:0032879","regulation of localization","BP",1863,222,239,0.0767275760561563,1.67269592523935e-06
"GO:0032940","secretion by cell","BP",776,91,93,0.244716630493016,0.0182371214873038
"GO:0033036","macromolecule localization","BP",2722,315,293,0.120568523318678,0.0225619977125885
"GO:0033273","response to vitamin","BP",79,14,9,0.0456625955034063,0.358159332433599
"GO:0033344","cholesterol efflux","BP",43,7,5,0.183625568836082,0.40641074217902
"GO:0033363","secretory granule organization","BP",61,6,4,0.667550560621269,0.855501962865341
"GO:0033552","response to vitamin B3","BP",3,0,2,1,0.0264047380424041
"GO:0033700","phospholipid efflux","BP",9,2,2,0.256967981747173,0.214947474858401
"GO:0033993","response to lipid","BP",769,110,119,0.00169273221292796,1.44808469182416e-07
"GO:0034097","response to cytokine","BP",877,114,123,0.0258496404754588,1.48046298383741e-05
"GO:0034204","lipid translocation","BP",50,7,7,0.301975753577791,0.207542572116369
"GO:0034377","plasma lipoprotein particle assembly","BP",15,4,2,0.0724338252419648,0.435071553537667
"GO:0034380","high-density lipoprotein particle assembly","BP",5,1,1,0.43899952470626,0.399748899156237
"GO:0034405","response to fluid shear stress","BP",33,6,7,0.144450039866788,0.0360679875301093
"GO:0034616","response to laminar fluid shear stress","BP",11,3,3,0.109982206092204,0.0832741130696785
"GO:0035023","regulation of Rho protein signal transduction","BP",80,8,18,0.656950926432939,0.000538270163094778
"GO:0035556","intracellular signal transduction","BP",2558,285,359,0.35555938284477,6.59239183969677e-15
"GO:0035592","establishment of protein localization to extracellular region","BP",348,49,37,0.0372704695056247,0.302216218261066
"GO:0036314","response to sterol","BP",25,7,2,0.0149371770220961,0.712878067589913
"GO:0036315","cellular response to sterol","BP",20,6,2,0.0168740057969629,0.591230019085332
"GO:0038027","apolipoprotein A-I-mediated signaling pathway","BP",5,1,1,0.43899952470626,0.399748899156237
"GO:0042157","lipoprotein metabolic process","BP",85,12,10,0.213735795778046,0.309100461578525
"GO:0042158","lipoprotein biosynthetic process","BP",57,6,10,0.600622066140707,0.0458970598349998
"GO:0042221","response to chemical","BP",2991,402,384,8.71533199381507e-07,2.67485630461794e-10
"GO:0042592","homeostatic process","BP",1528,201,186,0.00219536921488313,0.000491850786952691
"GO:0042632","cholesterol homeostasis","BP",78,13,8,0.07907132913759,0.489761985393957
"GO:0042886","amide transport","BP",308,46,38,0.0171254411766077,0.0728827193433497
"GO:0043207","response to external biotic stimulus","BP",1215,160,145,0.00587251171083855,0.00438814949782769
"GO:0043254","regulation of protein-containing complex assembly","BP",410,38,64,0.879552738304058,8.79998475584697e-05
"GO:0043691","reverse cholesterol transport","BP",7,1,1,0.554831189353037,0.510621047164045
"GO:0043933","protein-containing complex organization","BP",1577,153,160,0.954478290231138,0.278349174401257
"GO:0044085","cellular component biogenesis","BP",2966,264,336,0.999971690632084,0.000608978154969229
"GO:0044087","regulation of cellular component biogenesis","BP",983,90,170,0.972223451325789,1.64382116625122e-14
"GO:0044089","positive regulation of cellular component biogenesis","BP",492,49,92,0.775613487750991,4.22990789626851e-10
"GO:0044281","small molecule metabolic process","BP",1475,296,114,9.79136122929046e-28,0.997526921725423
"GO:0044419","biological process involved in interspecies interaction between organisms","BP",1333,171,165,0.0120488142719568,0.000484122660144049
"GO:0045184","establishment of protein localization","BP",1599,185,133,0.199098579130732,0.979890534632188
"GO:0045332","phospholipid translocation","BP",45,6,7,0.367474206438555,0.141459309707943
"GO:0046903","secretion","BP",877,115,102,0.0200921418367397,0.0292829668380244
"GO:0046907","intracellular transport","BP",1277,138,106,0.566625930516447,0.967384401094499
"GO:0048518","positive regulation of biological process","BP",5292,573,663,0.609631166525975,3.11719458425579e-17
"GO:0048522","positive regulation of cellular process","BP",5047,545,637,0.637010202438601,4.46132102351237e-17
"GO:0048583","regulation of response to stimulus","BP",3404,401,465,0.036986243811309,1.22800259345972e-17
"GO:0048878","chemical homeostasis","BP",877,131,98,0.000100006327272805,0.0746581996040535
"GO:0050789","regulation of biological process","BP",8855,960,1047,0.643776837433357,2.07528273844167e-25
"GO:0050794","regulation of cellular process","BP",8592,921,1020,0.81496695758963,9.95668404188098e-25
"GO:0050896","response to stimulus","BP",6687,816,807,5.02527487606936e-06,5.95772092243842e-18
"GO:0051049","regulation of transport","BP",1486,187,182,0.0181516870222434,0.000418909875359289
"GO:0051050","positive regulation of transport","BP",832,115,103,0.00426555997890996,0.00546451411964262
"GO:0051056","regulation of small GTPase mediated signal transduction","BP",226,19,44,0.911584300957861,5.35954565757135e-06
"GO:0051128","regulation of cellular component organization","BP",2331,258,317,0.410758301558601,2.4803127659367e-11
"GO:0051130","positive regulation of cellular component organization","BP",1129,127,161,0.369713824896325,2.26318857397759e-07
"GO:0051179","localization","BP",4477,574,492,1.04177100497273e-06,0.000366389714315135
"GO:0051234","establishment of localization","BP",3915,520,405,4.31732653584155e-08,0.0630681871502325
"GO:0051239","regulation of multicellular organismal process","BP",2576,285,383,0.407501241334265,2.46555082005094e-20
"GO:0051240","positive regulation of multicellular organismal process","BP",1485,179,214,0.0770848044008242,6.62182946199412e-10
"GO:0051641","cellular localization","BP",3149,356,326,0.225552655820768,0.090228212837855
"GO:0051649","establishment of localization in cell","BP",1861,216,173,0.163897516086284,0.748262326260402
"GO:0051707","response to other organism","BP",1214,160,144,0.00569390469396774,0.00561831745341247
"GO:0051716","cellular response to stimulus","BP",5503,647,695,0.00718772196432723,2.07535759058419e-19
"GO:0055085","transmembrane transport","BP",1167,196,113,1.85074456096228e-10,0.525487242346839
"GO:0055088","lipid homeostasis","BP",142,29,15,0.000628950760970843,0.404616269620123
"GO:0055091","phospholipid homeostasis","BP",14,7,1,0.000312481555393237,0.760588797606835
"GO:0055092","sterol homeostasis","BP",79,13,8,0.0856518372776566,0.504590453333152
"GO:0060155","platelet dense granule organization","BP",21,1,1,0.911880058116736,0.88291603971993
"GO:0061024","membrane organization","BP",718,83,71,0.302985304143944,0.451111079843339
"GO:0065003","protein-containing complex assembly","BP",1401,135,135,0.95283253328738,0.550153871049505
"GO:0065005","protein-lipid complex assembly","BP",19,4,2,0.145845833944815,0.562721784068932
"GO:0065007","biological regulation","BP",9134,1003,1064,0.389356367420852,2.9596052933985e-23
"GO:0065008","regulation of biological quality","BP",2521,282,330,0.328289531064647,8.89313362437542e-10
"GO:0070723","response to cholesterol","BP",20,4,2,0.167492280732296,0.591230019085332
"GO:0070727","cellular macromolecule localization","BP",2387,262,250,0.470904662481005,0.0904516775690366
"GO:0070887","cellular response to chemical stimulus","BP",1803,239,254,0.000534466161577067,1.23556226418788e-10
"GO:0071216","cellular response to biotic stimulus","BP",216,26,33,0.328218472019474,0.00582013101337603
"GO:0071219","cellular response to molecule of bacterial origin","BP",190,23,29,0.33128853612631,0.00942597443629837
"GO:0071222","cellular response to lipopolysaccharide","BP",183,20,27,0.533186885625312,0.0181113974143741
"GO:0071300","cellular response to retinoic acid","BP",43,4,7,0.705159189391702,0.118339615616527
"GO:0071345","cellular response to cytokine stimulus","BP",784,103,107,0.0255274658500495,0.000159867205518254
"GO:0071396","cellular response to lipid","BP",501,69,78,0.0248188605838897,1.70361077626306e-05
"GO:0071397","cellular response to cholesterol","BP",15,3,2,0.220309550706664,0.435071553537667
"GO:0071466","cellular response to xenobiotic stimulus","BP",123,16,18,0.265812039910226,0.0503954011977628
"GO:0071692","protein localization to extracellular region","BP",353,50,38,0.0325331316601734,0.272316396695376
"GO:0071705","nitrogen compound transport","BP",1728,218,156,0.0100131193103683,0.853071943618941
"GO:0071806","protein transmembrane transport","BP",66,7,3,0.590795194039398,0.961285560644286
"GO:0071825","protein-lipid complex organization","BP",32,7,2,0.0535251385190087,0.830942973422643
"GO:0071827","plasma lipoprotein particle organization","BP",28,7,2,0.0275700877623435,0.770202501715636
"GO:0080171","lytic vacuole organization","BP",96,11,7,0.480259382260418,0.834906608570804
"GO:0090107","regulation of high-density lipoprotein particle assembly","BP",3,0,1,1,0.263778121698857
"GO:0090108","positive regulation of high-density lipoprotein particle assembly","BP",2,0,1,1,0.184653660480039
"GO:0097006","regulation of plasma lipoprotein particle levels","BP",50,10,3,0.0412997131973735,0.875729433139433
"GO:0097035","regulation of membrane lipid distribution","BP",55,8,7,0.24795195211183,0.282802908824112
"GO:0097305","response to alcohol","BP",240,41,35,0.00243193361496749,0.00950379807572494
"GO:0097306","cellular response to alcohol","BP",96,19,17,0.00720504321392046,0.0104645363797192
"GO:0098657","import into cell","BP",782,111,106,0.002097852771932,0.000222606281452037
"GO:0099024","plasma membrane invagination","BP",50,6,10,0.468480049050763,0.0201492539790376
"GO:0099039","sphingolipid translocation","BP",5,0,2,1,0.0771473599148401
"GO:0140115","export across plasma membrane","BP",60,8,11,0.330240494427187,0.0279687103115059
"GO:0140352","export from cell","BP",835,101,102,0.143423141346008,0.00829721058858372
"GO:0141124","intracellular signaling cassette","BP",1578,162,258,0.819695877768824,1.44433688410007e-18
"GO:1901652","response to peptide","BP",891,117,126,0.0184392522637811,7.74610747215987e-06
"GO:1901700","response to oxygen-containing compound","BP",1499,196,211,0.00327068191568266,6.73551173393277e-09
"GO:1901701","cellular response to oxygen-containing compound","BP",1065,135,156,0.0335470111001146,6.34264878907085e-08
"GO:1902531","regulation of intracellular signal transduction","BP",1715,204,247,0.0916785670897275,2.48384431955035e-11
"GO:1902652","secondary alcohol metabolic process","BP",129,39,19,1.70625313706498e-09,0.0428922905425966
"GO:1905952","regulation of lipid localization","BP",143,31,19,0.000136252050070517,0.0983137948730083
"GO:1905954","positive regulation of lipid localization","BP",93,23,16,0.000124892256598375,0.0165965431476099
"GO:0001523","retinoid metabolic process","BP",39,6,5,0.248582091337518,0.326640722952305
"GO:0001894","tissue homeostasis","BP",249,34,37,0.100306480213459,0.0057987435988599
"GO:0001895","retina homeostasis","BP",50,7,1,0.301975753577791,0.993974819937535
"GO:0003008","system process","BP",1441,168,206,0.18246392788956,2.89945264882944e-09
"GO:0006081","aldehyde metabolic process","BP",69,13,7,0.034266745443788,0.509669097902386
"GO:0006649","phospholipid transfer to membrane","BP",2,0,0,1,1
"GO:0006720","isoprenoid metabolic process","BP",70,18,8,0.000394716788786,0.368501387368371
"GO:0006721","terpenoid metabolic process","BP",51,10,8,0.0465442736281698,0.116805513345341
"GO:0007600","sensory perception","BP",348,44,47,0.168381269720706,0.0124342289853501
"GO:0007601","visual perception","BP",87,11,7,0.350234724335831,0.75179382875922
"GO:0016101","diterpenoid metabolic process","BP",43,6,7,0.327025789814746,0.118339615616527
"GO:0042574","retinal metabolic process","BP",9,1,2,0.646757761237612,0.214947474858401
"GO:0045494","photoreceptor cell maintenance","BP",35,4,1,0.540593242352233,0.972025393277703
"GO:0048871","multicellular organismal-level homeostasis","BP",795,96,115,0.154476018429429,6.88826569724455e-06
"GO:0050877","nervous system process","BP",845,103,109,0.123139173582254,0.00112733485439141
"GO:0050953","sensory perception of light stimulus","BP",89,11,7,0.378986798637398,0.772496423865284
"GO:0060249","anatomical structure homeostasis","BP",249,34,37,0.100306480213459,0.0057987435988599
"GO:0120254","olefinic compound metabolic process","BP",96,15,18,0.0974789246467014,0.00468054050335217
"GO:0001573","ganglioside metabolic process","BP",25,6,4,0.0482020579414623,0.22002689225586
"GO:0006486","protein glycosylation","BP",193,51,6,1.18447699735663e-09,0.999897409383467
"GO:0006643","membrane lipid metabolic process","BP",178,31,19,0.00578076282297077,0.365865645820729
"GO:0006644","phospholipid metabolic process","BP",328,61,31,2.07477767967956e-05,0.589790582453752
"GO:0006664","glycolipid metabolic process","BP",88,17,7,0.0134976487003171,0.762308453950102
"GO:0006665","sphingolipid metabolic process","BP",132,24,17,0.00830696282669429,0.138744813290047
"GO:0006670","sphingosine metabolic process","BP",18,5,2,0.0392747401876336,0.532812096657598
"GO:0006672","ceramide metabolic process","BP",92,19,13,0.00446909237586198,0.107108396600253
"GO:0006684","sphingomyelin metabolic process","BP",20,2,3,0.658276648350324,0.306147668921324
"GO:0006687","glycosphingolipid metabolic process","BP",49,11,7,0.0148118479587445,0.19347646204834
"GO:0006898","receptor-mediated endocytosis","BP",241,42,34,0.00146950351094635,0.0167646229727183
"GO:0007272","ensheathment of neurons","BP",167,21,18,0.278313468692114,0.355351321044969
"GO:0007610","behavior","BP",628,69,74,0.496495457605956,0.0447154022865944
"GO:0007626","locomotory behavior","BP",215,25,14,0.400017187748295,0.96245873453599
"GO:0008366","axon ensheathment","BP",167,21,18,0.278313468692114,0.355351321044969
"GO:0008610","lipid biosynthetic process","BP",581,133,63,2.59063764487955e-17,0.189646458168826
"GO:0008654","phospholipid biosynthetic process","BP",206,37,24,0.00158048727011442,0.19985612832091
"GO:0009056","catabolic process","BP",2289,271,218,0.0682943416713172,0.63514794282293
"GO:0009057","macromolecule catabolic process","BP",1343,122,141,0.990447488200167,0.162890219345443
"GO:0009100","glycoprotein metabolic process","BP",332,67,18,4.28394274284065e-07,0.998477407924654
"GO:0009101","glycoprotein biosynthetic process","BP",277,58,15,7.24533190867153e-07,0.996755446946633
"GO:0009653","anatomical structure morphogenesis","BP",2396,217,372,0.999465995845464,4.1089527095102e-23
"GO:0009719","response to endogenous stimulus","BP",1347,161,196,0.110190703672464,1.77114359518671e-09
"GO:0009725","response to hormone","BP",833,120,113,0.000816585444082496,0.000134475525637261
"GO:0009889","regulation of biosynthetic process","BP",4226,406,492,0.999436616367006,5.47483120480395e-07
"GO:0009890","negative regulation of biosynthetic process","BP",1933,167,255,0.99981531710049,6.29353382465505e-08
"GO:0009891","positive regulation of biosynthetic process","BP",2282,214,281,0.995691886671302,5.56421177130659e-06
"GO:0009892","negative regulation of metabolic process","BP",2470,243,312,0.972859500694726,1.25413589211012e-07
"GO:0009893","positive regulation of metabolic process","BP",3097,293,385,0.998525545616117,1.50677502983992e-08
"GO:0009894","regulation of catabolic process","BP",925,97,106,0.683185082318758,0.0379362184982219
"GO:0009896","positive regulation of catabolic process","BP",501,46,56,0.912126165247185,0.145710610763698
"GO:0010001","glial cell differentiation","BP",246,27,36,0.518654554046228,0.0081762572009666
"GO:0010556","regulation of macromolecule biosynthetic process","BP",4067,371,474,0.999993586676585,8.97417765685764e-07
"GO:0010557","positive regulation of macromolecule biosynthetic process","BP",2177,197,270,0.99906598172532,5.06967237158795e-06
"GO:0010559","regulation of glycoprotein biosynthetic process","BP",39,5,4,0.424088980406452,0.531707217136301
"GO:0010560","positive regulation of glycoprotein biosynthetic process","BP",22,4,1,0.213766029538033,0.894292134045276
"GO:0010563","negative regulation of phosphorus metabolic process","BP",339,45,48,0.0958462271465979,0.00488705619517492
"GO:0010604","positive regulation of macromolecule metabolic process","BP",2833,264,356,0.999016333404555,2.01092536983061e-08
"GO:0010927","cellular component assembly involved in morphogenesis","BP",119,10,15,0.849584217675026,0.177159737938774
"GO:0014003","oligodendrocyte development","BP",45,3,4,0.882602075893098,0.647330341184694
"GO:0019216","regulation of lipid metabolic process","BP",304,60,35,3.59493542187759e-06,0.163360956603864
"GO:0019218","regulation of steroid metabolic process","BP",93,22,11,0.000342903630044571,0.290278796816541
"GO:0019220","regulation of phosphate metabolic process","BP",971,129,149,0.00965813746779242,6.13183435159628e-09
"GO:0019222","regulation of metabolic process","BP",5241,539,602,0.966434386662043,7.31983487853833e-08
"GO:0019637","organophosphate metabolic process","BP",938,178,74,3.25982971513085e-14,0.979176923024501
"GO:0019725","cellular homeostasis","BP",709,96,73,0.0146525955346394,0.31095026054657
"GO:0019751","polyol metabolic process","BP",91,14,10,0.117288943951356,0.388792628311944
"GO:0021782","glial cell development","BP",128,13,19,0.651018718141062,0.0400729311109431
"GO:0022008","neurogenesis","BP",1652,133,233,0.999982386199796,7.71199337056334e-10
"GO:0022010","central nervous system myelination","BP",27,2,3,0.810181565624278,0.494560892411052
"GO:0030100","regulation of endocytosis","BP",295,44,40,0.0197851029137396,0.0187529492501719
"GO:0030148","sphingolipid biosynthetic process","BP",87,16,11,0.0250913733380675,0.22075334520001
"GO:0030154","cell differentiation","BP",3733,375,509,0.977085422528166,1.67236864761573e-19
"GO:0030163","protein catabolic process","BP",991,95,106,0.926965904948153,0.15029315374671
"GO:0031399","regulation of protein modification process","BP",1060,120,153,0.345938549645705,2.19419579463253e-07
"GO:0032288","myelin assembly","BP",25,4,1,0.288405505697095,0.922210840015294
"GO:0032289","central nervous system myelin formation","BP",7,0,1,1,0.510621047164045
"GO:0032291","axon ensheathment in central nervous system","BP",27,2,3,0.810181565624278,0.494560892411052
"GO:0032369","negative regulation of lipid transport","BP",26,3,1,0.551202715501709,0.929770911829665
"GO:0032372","negative regulation of sterol transport","BP",7,1,0,0.554831189353037,1
"GO:0032375","negative regulation of cholesterol transport","BP",7,1,0,0.554831189353037,1
"GO:0032377","regulation of intracellular lipid transport","BP",9,1,1,0.646757761237612,0.601025000973261
"GO:0032378","negative regulation of intracellular lipid transport","BP",2,0,0,1,1
"GO:0032380","regulation of intracellular sterol transport","BP",8,1,1,0.603447785738674,0.55812749807161
"GO:0032381","negative regulation of intracellular sterol transport","BP",2,0,0,1,1
"GO:0032383","regulation of intracellular cholesterol transport","BP",8,1,1,0.603447785738674,0.55812749807161
"GO:0032384","negative regulation of intracellular cholesterol transport","BP",2,0,0,1,1
"GO:0032386","regulation of intracellular transport","BP",286,35,32,0.260356982303143,0.221470657347767
"GO:0032387","negative regulation of intracellular transport","BP",55,10,4,0.0719186190207169,0.794000027877461
"GO:0032799","low-density lipoprotein receptor particle metabolic process","BP",6,0,1,1,0.458010819544648
"GO:0032801","receptor catabolic process","BP",30,3,3,0.650695058776355,0.567506499200219
"GO:0032802","low-density lipoprotein particle receptor catabolic process","BP",6,0,1,1,0.458010819544648
"GO:0032803","regulation of low-density lipoprotein particle receptor catabolic process","BP",6,0,1,1,0.458010819544648
"GO:0032805","positive regulation of low-density lipoprotein particle receptor catabolic process","BP",3,0,0,1,1
"GO:0032880","regulation of protein localization","BP",894,98,125,0.49885200522833,1.45892064907631e-05
"GO:0032989","cellular anatomical entity morphogenesis","BP",119,10,15,0.849584217675026,0.177159737938774
"GO:0034205","amyloid-beta formation","BP",46,1,7,0.995133116202421,0.153774974997229
"GO:0034248","regulation of amide metabolic process","BP",68,7,15,0.623154399975274,0.0018759298422719
"GO:0034250","positive regulation of amide metabolic process","BP",30,0,10,1,0.000350422526550458
