"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",20,1,1,0.901066631448606,0.870316562224305
"mmu00541","Biosynthesis of various nucleotide sugars",20,7,2,0.00391435442664076,0.591230019085332
"mmu00561","Glycerolipid metabolism",56,15,6,0.000741725711982878,0.463577588442383
"mmu00562","Inositol phosphate metabolism",70,11,4,0.137178414891765,0.918149903413196
"mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",29,4,0,0.391801493343052,1
"mmu00564","Glycerophospholipid metabolism",90,17,12,0.0167131958129774,0.160489753061088
"mmu00565","Ether lipid metabolism",39,5,6,0.424088980406452,0.172423046226306
"mmu00590","Arachidonic acid metabolism",43,4,6,0.705159189391702,0.234951118775077
"mmu00591","Linoleic acid metabolism",18,1,2,0.87529904850394,0.532812096657598
"mmu00592","alpha-Linolenic acid metabolism",17,2,1,0.568027727314925,0.823791064608998
"mmu00600","Sphingolipid metabolism",50,9,6,0.089444222972143,0.35642593660789
"mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",24,5,1,0.113456633494629,0.913837529118279
"mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",14,3,1,0.190734405613725,0.760588797606835
"mmu00604","Glycosphingolipid biosynthesis - ganglio series",12,4,2,0.0341552891770813,0.327325166424082
"mmu00620","Pyruvate metabolism",39,13,0,0.000157703933397169,1
"mmu00630","Glyoxylate and dicarboxylate metabolism",30,14,0,8.64486093588474e-07,1
"mmu00640","Propanoate metabolism",29,10,2,0.00066392037859754,0.786964922423456
"mmu00650","Butanoate metabolism",19,8,4,0.000494980025344368,0.105588760274141
"mmu00670","One carbon pool by folate",32,7,0,0.0535251385190087,1
"mmu00730","Thiamine metabolism",11,0,3,1,0.0832741130696785
"mmu00740","Riboflavin metabolism",8,1,0,0.603447785738674,1
"mmu00750","Vitamin B6 metabolism",9,2,1,0.256967981747173,0.601025000973261
"mmu00760","Nicotinate and nicotinamide metabolism",35,5,2,0.333795273316686,0.866558092758519
"mmu00770","Pantothenate and CoA biosynthesis",18,2,0,0.599915543908679,1
"mmu00780","Biotin metabolism",3,1,0,0.293050922519059,1
"mmu00785","Lipoic acid metabolism",17,5,0,0.0310793156807827,1
"mmu00790","Folate biosynthesis",20,3,1,0.375445567730954,0.870316562224305
"mmu00830","Retinol metabolism",31,5,2,0.245680391926787,0.817282240960879
"mmu00860","Porphyrin metabolism",29,4,2,0.391801493343052,0.786964922423456
"mmu00900","Terpenoid backbone biosynthesis",22,9,1,0.000284609786780369,0.894292134045276
"mmu00910","Nitrogen metabolism",13,3,0,0.162280963528059,1
"mmu00920","Sulfur metabolism",11,1,0,0.719710438959647,1
"mmu00970","Aminoacyl-tRNA biosynthesis",44,0,0,1,1
"mmu00980","Metabolism of xenobiotics by cytochrome P450",36,4,3,0.563621512672539,0.69231099734541
"mmu00982","Drug metabolism - cytochrome P450",38,5,2,0.401588097192486,0.895159465991951
"mmu00983","Drug metabolism - other enzymes",52,7,3,0.338492244750274,0.89190084642365
"mmu01040","Biosynthesis of unsaturated fatty acids",32,9,2,0.00586743437889578,0.830942973422643
"mmu01100","Metabolic pathways",1324,263,80,7.7986188178047e-24,0.999999764120995
"mmu01200","Carbon metabolism",107,29,3,2.4950965150365e-06,0.998626936873584
"mmu01210","2-Oxocarboxylic acid metabolism",30,8,0,0.0128863814049157,1
"mmu01212","Fatty acid metabolism",58,18,7,2.74073072153991e-05,0.330770655600596
"mmu01230","Biosynthesis of amino acids",69,17,2,0.000959054732496126,0.992734335243961
"mmu01232","Nucleotide metabolism",76,11,8,0.203268398229434,0.459765813443511
"mmu01240","Biosynthesis of cofactors",121,18,7,0.107615983396538,0.955765697353701
"mmu01250","Biosynthesis of nucleotide sugars",34,14,1,5.42294162134757e-06,0.969012041834298
"mmu01320","Sulfur cycle",2,0,0,1,1
"mmu01521","EGFR tyrosine kinase inhibitor resistance",77,6,17,0.858873719987368,0.000953681779642177
"mmu01522","Endocrine resistance",87,10,15,0.481631577810415,0.0195923778093513
"mmu01523","Antifolate resistance",28,3,5,0.603007579549601,0.129281315918618
"mmu01524","Platinum drug resistance",68,8,7,0.467693832853694,0.493809127669574
"mmu02010","ABC transporters",39,6,4,0.248582091337518,0.531707217136301
"mmu03008","Ribosome biogenesis in eukaryotes",77,1,10,0.999866776039884,0.210699824964199
"mmu03010","Ribosome",189,3,23,0.99999991566495,0.15183255498691
"mmu03013","Nucleocytoplasmic transport",105,1,8,0.999994867786871,0.810902344863373
"mmu03015","mRNA surveillance pathway",94,1,9,0.99998153984365,0.568087030834634
"mmu03018","RNA degradation",74,4,6,0.967530840840825,0.735824562576804
"mmu03020","RNA polymerase",32,2,3,0.878456065508337,0.612371254034416
"mmu03022","Basal transcription factors",38,0,2,1,0.895159465991951
"mmu03030","DNA replication",35,7,0,0.0805559870949674,1
"mmu03040","Spliceosome",138,1,2,0.999999890350049,0.999988573921802
"mmu03050","Proteasome",43,0,1,1,0.98766257752806
"mmu03060","Protein export",34,8,0,0.0270463704072536,1
"mmu03082","ATP-dependent chromatin remodeling",99,2,8,0.999863629056414,0.756422958999364
"mmu03083","Polycomb repressive complex",80,4,13,0.980043326036108,0.0436530741074277
"mmu03250","Viral life cycle - HIV-1",59,4,6,0.898091671888585,0.515588569520774
"mmu03260","Virion - Human immunodeficiency virus",1,0,1,1,0.0970315991062881
"mmu03264","Virion - Flavivirus and Alphavirus",5,0,0,1,1
"mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",5,0,2,1,0.0771473599148401
"mmu03266","Virion - Herpesvirus",9,0,3,1,0.0490253466455067
"mmu03267","Virion - Adenovirus",2,0,1,1,0.184653660480039
"mmu03271","Virion - Rotavirus",2,0,1,1,0.184653660480039
"mmu03272","Virion - Hepatitis viruses",36,4,10,0.563621512672539,0.00172884325865695
"mmu03273","Virion - Lassa virus and SFTS virus",12,1,3,0.750328501396021,0.103319862208911
"mmu03320","PPAR signaling pathway",61,16,8,0.000643979518774758,0.236818718437386
"mmu03410","Base excision repair",45,7,0,0.215404117224721,1
"mmu03420","Nucleotide excision repair",57,6,2,0.600622066140707,0.978969818479362
"mmu03430","Mismatch repair",22,4,0,0.213766029538033,1
"mmu03440","Homologous recombination",40,12,1,0.00082909710568872,0.983228410273954
"mmu03450","Non-homologous end-joining",12,1,0,0.750328501396021,1
"mmu03460","Fanconi anemia pathway",50,13,2,0.00219814722223494,0.961489456377138
"mmu04010","MAPK signaling pathway",263,15,64,0.998921193676022,2.59459214880743e-12
"mmu04012","ErbB signaling pathway",80,8,16,0.656950926432939,0.00386855455233338
"mmu04014","Ras signaling pathway",191,16,42,0.897861835073235,3.12558143612492e-07
"mmu04015","Rap1 signaling pathway",183,16,41,0.858488235591673,2.53374689784705e-07
"mmu04020","Calcium signaling pathway",187,24,25,0.228879967977977,0.0618816216719662
"mmu04022","cGMP-PKG signaling pathway",134,17,16,0.292280273227983,0.226488621341844
"mmu04024","cAMP signaling pathway",162,14,25,0.856727737544867,0.0132796580202168
"mmu04060","Cytokine-cytokine receptor interaction",182,25,21,0.135043440096057,0.232151503905592
"mmu04061","Viral protein interaction with cytokine and cytokine receptor",61,10,7,0.123688452364617,0.379795717767944
"mmu04062","Chemokine signaling pathway",148,16,20,0.555777083262256,0.0803484010634704
"mmu04064","NF-kappa B signaling pathway",92,13,19,0.200768261417024,0.00116450140236353
"mmu04066","HIF-1 signaling pathway",99,13,13,0.282176159483841,0.161146204678192
"mmu04068","FoxO signaling pathway",120,22,18,0.0101565791939272,0.0410110932880478
"mmu04070","Phosphatidylinositol signaling system",91,12,8,0.288004172274843,0.667865080448852
"mmu04071","Sphingolipid signaling pathway",111,12,22,0.559504209142118,0.000888746805270907
"mmu04072","Phospholipase D signaling pathway",126,20,25,0.0551121782000647,0.00040377693513491
"mmu04080","Neuroactive ligand-receptor interaction",148,27,18,0.00510373286520906,0.187925134678748
"mmu04081","Hormone signaling",135,28,11,0.000598475446121919,0.77113394482012
"mmu04082","Neuroactive ligand signaling",102,17,10,0.0497607850362631,0.535314068057458
"mmu04110","Cell cycle",153,26,13,0.0146669328415386,0.733072063725525
"mmu04114","Oocyte meiosis",109,14,11,0.300361752039008,0.492520398349868
"mmu04115","p53 signaling pathway",74,11,14,0.179849293433021,0.0109096782237815
"mmu04120","Ubiquitin mediated proteolysis",140,6,10,0.998556166853331,0.883045548748746
"mmu04122","Sulfur relay system",8,0,1,1,0.55812749807161
"mmu04130","SNARE interactions in vesicular transport",32,6,4,0.129422387754739,0.377324590651498
"mmu04136","Autophagy - other",31,1,5,0.972317786378377,0.176999227537483
"mmu04137","Mitophagy - animal",96,5,12,0.983664942154952,0.218833057749337
"mmu04140","Autophagy - animal",157,18,18,0.449980989633522,0.262299925511813
"mmu04141","Protein processing in endoplasmic reticulum",160,32,8,0.000499068170137977,0.990094450491448
"mmu04142","Lysosome",125,21,7,0.0294632363677044,0.964918385921595
"mmu04144","Endocytosis",246,30,27,0.286531548506745,0.277598307866961
"mmu04145","Phagosome",133,24,15,0.00911644865309454,0.308796536624783
"mmu04146","Peroxisome",80,14,2,0.0500166147059535,0.997316777085175
"mmu04148","Efferocytosis",146,18,25,0.328306647646952,0.00352430643190052
"mmu04150","mTOR signaling pathway",142,17,21,0.38131266148997,0.0333127081426269
"mmu04151","PI3K-Akt signaling pathway",305,37,53,0.271114057047434,1.95994818414076e-05
"mmu04152","AMPK signaling pathway",115,23,12,0.00289678552536609,0.440579814734107
"mmu04210","Apoptosis",123,12,21,0.702927353532062,0.00733876512991854
"mmu04211","Longevity regulating pathway",82,9,13,0.545540888960281,0.0517266724340202
"mmu04213","Longevity regulating pathway - multiple species",55,6,8,0.564579360151031,0.160185125730718
"mmu04215","Apoptosis - multiple species",29,2,6,0.840839545611423,0.0563193850548612
"mmu04216","Ferroptosis",39,6,6,0.248582091337518,0.172423046226306
"mmu04217","Necroptosis",118,11,13,0.753635431204811,0.357726196741647
"mmu04218","Cellular senescence",160,25,22,0.0415220094605354,0.0595350777432925
"mmu04260","Cardiac muscle contraction",63,4,5,0.924003077478956,0.744189527934584
"mmu04261","Adrenergic signaling in cardiomyocytes",128,14,18,0.539057829490098,0.0692369707178676
"mmu04270","Vascular smooth muscle contraction",107,10,14,0.744066703028417,0.153205421529256
"mmu04310","Wnt signaling pathway",148,12,34,0.895363296167082,1.43252660661354e-06
"mmu04330","Notch signaling pathway",60,1,11,0.999040737963469,0.0279687103115059
"mmu04340","Hedgehog signaling pathway",51,3,8,0.927663660830703,0.116805513345341
"mmu04350","TGF-beta signaling pathway",98,4,17,0.995704150080541,0.0127763885009878
"mmu04360","Axon guidance",166,13,30,0.925787584794795,0.000604328451227175
"mmu04370","VEGF signaling pathway",55,4,11,0.864691621382483,0.0152127746433954
"mmu04371","Apelin signaling pathway",118,12,17,0.646724768736391,0.0632458662974897
"mmu04380","Osteoclast differentiation",105,12,18,0.478964047626832,0.0119453505645274
"mmu04382","Cornified envelope formation",138,8,37,0.987158514107172,6.63776872117991e-09
"mmu04390","Hippo signaling pathway",140,4,39,0.999911937087866,7.79676300896609e-10
"mmu04392","Hippo signaling pathway - multiple species",26,1,10,0.950605326291587,8.8925363103454e-05
"mmu04510","Focal adhesion",190,17,37,0.839732841510968,2.90199003729202e-05
"mmu04512","ECM-receptor interaction",83,11,13,0.294032919542418,0.0561233846999725
"mmu04514","Cell adhesion molecules",122,13,20,0.580115449192241,0.0135102260448551
"mmu04520","Adherens junction",85,5,26,0.962345565529524,6.49053292030961e-08
"mmu04530","Tight junction",148,5,38,0.999805958033059,1.51814993770551e-08
"mmu04540","Gap junction",73,11,16,0.168641028069399,0.00144354002817476
"mmu04550","Signaling pathways regulating pluripotency of stem cells",109,7,23,0.960592824169161,0.000268671505873245
"mmu04610","Complement and coagulation cascades",53,10,6,0.058334871422079,0.410231619281073
"mmu04611","Platelet activation",112,16,15,0.159102963263878,0.124363969170221
"mmu04612","Antigen processing and presentation",63,9,4,0.246022948239899,0.872195788225604
"mmu04613","Neutrophil extracellular trap formation",119,29,10,2.34907128784839e-05,0.729394663083847
"mmu04614","Renin-angiotensin system",14,4,1,0.0579516758806198,0.760588797606835
"mmu04620","Toll-like receptor signaling pathway",79,12,9,0.149118404855257,0.358159332433599
"mmu04621","NOD-like receptor signaling pathway",148,23,19,0.0515818918236184,0.125857654397177
"mmu04622","RIG-I-like receptor signaling pathway",53,7,7,0.356969657657171,0.251836362276788
"mmu04623","Cytosolic DNA-sensing pathway",63,9,5,0.246022948239899,0.744189527934584
"mmu04625","C-type lectin receptor signaling pathway",87,9,19,0.619071510016228,0.000567653609066609
"mmu04630","JAK-STAT signaling pathway",121,16,15,0.24464699965238,0.194037779567536
"mmu04640","Hematopoietic cell lineage",64,4,13,0.929478524040556,0.00765792017854657
"mmu04650","Natural killer cell mediated cytotoxicity",69,5,10,0.885059653333421,0.128477885341138
"mmu04657","IL-17 signaling pathway",75,5,12,0.923167719983494,0.056611311253206
"mmu04658","Th1 and Th2 cell differentiation",71,4,13,0.958819275381676,0.0180094391417919
"mmu04659","Th17 cell differentiation",83,6,14,0.901965098225262,0.0280520679250469
"mmu04660","T cell receptor signaling pathway",100,8,16,0.866886446230866,0.0310305555716689
"mmu04662","B cell receptor signaling pathway",62,6,14,0.683121273211132,0.00207882611926773
"mmu04664","Fc epsilon RI signaling pathway",54,6,9,0.545985821307245,0.0739931746149795
"mmu04666","Fc gamma R-mediated phagocytosis",86,8,13,0.734995206634004,0.0708045879541112
"mmu04668","TNF signaling pathway",114,15,21,0.259946952189152,0.00295723913184898
"mmu04670","Leukocyte transendothelial migration",94,3,27,0.998540405503204,1.55416446296869e-07
"mmu04672","Intestinal immune network for IgA production",30,3,3,0.650695058776355,0.567506499200219
"mmu04710","Circadian rhythm",33,5,6,0.289131011260766,0.0947604469492528
"mmu04713","Circadian entrainment",73,6,9,0.822228116337834,0.27506225411654
"mmu04714","Thermogenesis",215,17,20,0.94300834902912,0.613366540383323
"mmu04720","Long-term potentiation",54,5,4,0.716228481066979,0.781927901930678
"mmu04721","Synaptic vesicle cycle",56,6,8,0.582799598861977,0.172069860248354
"mmu04722","Neurotrophin signaling pathway",113,8,19,0.935985931354839,0.0122125081097092
"mmu04723","Retrograde endocannabinoid signaling",112,9,9,0.874631834506263,0.770430808901632
"mmu04724","Glutamatergic synapse",88,9,7,0.633019519667115,0.762308453950102
"mmu04725","Cholinergic synapse",89,14,10,0.102331953710329,0.361935359322964
"mmu04726","Serotonergic synapse",78,7,10,0.761426082739689,0.222261364842126
"mmu04727","GABAergic synapse",57,5,5,0.759936349329044,0.659804642196425
"mmu04728","Dopaminergic synapse",110,9,14,0.861246718516181,0.178123724021941
"mmu04730","Long-term depression",51,6,8,0.488257965620938,0.116805513345341
"mmu04740","Olfactory transduction",38,2,5,0.930261008275546,0.306869225936151
"mmu04742","Taste transduction",36,9,1,0.0132264740886496,0.97474589245991
"mmu04744","Phototransduction",13,1,2,0.777603673095555,0.364103651815572
"mmu04750","Inflammatory mediator regulation of TRP channels",87,6,15,0.923950161445974,0.0195923778093513
"mmu04810","Regulation of actin cytoskeleton",197,15,41,0.952298748241985,1.95415932573262e-06
"mmu04814","Motor proteins",162,15,14,0.786759733983658,0.715201176733021
"mmu04820","Cytoskeleton in muscle cells",198,15,36,0.954572548800496,0.000160716542491947
"mmu04910","Insulin signaling pathway",121,17,11,0.166584105924709,0.635548121479613
"mmu04911","Insulin secretion",62,9,6,0.23152567050548,0.565543651510437
"mmu04912","GnRH signaling pathway",79,8,18,0.642719464936726,0.000458003197714333
"mmu04913","Ovarian steroidogenesis",34,3,7,0.733376231445946,0.0417525054139747
"mmu04914","Progesterone-mediated oocyte maturation",82,16,8,0.0148136413579339,0.54819055703356
"mmu04915","Estrogen signaling pathway",105,10,18,0.722419064930115,0.0119453505645274
"mmu04916","Melanogenesis",78,7,16,0.761426082739689,0.00296755360782205
"mmu04917","Prolactin signaling pathway",62,13,9,0.0150030956499506,0.143240895448848
"mmu04918","Thyroid hormone synthesis",56,12,5,0.0161118877775695,0.644128953723592
"mmu04919","Thyroid hormone signaling pathway",110,11,11,0.666573506666259,0.505078992196408
"mmu04920","Adipocytokine signaling pathway",61,12,9,0.0303263018405295,0.133200470501455
"mmu04921","Oxytocin signaling pathway",128,13,17,0.651018718141062,0.113399164803554
"mmu04922","Glucagon signaling pathway",84,12,8,0.20221501677182,0.576366970255138
"mmu04923","Regulation of lipolysis in adipocytes",46,8,5,0.122977101962286,0.465520727522655
"mmu04924","Renin secretion",59,9,4,0.19009238457764,0.836987565631307
"mmu04925","Aldosterone synthesis and secretion",77,10,11,0.329817915780556,0.123648771647222
"mmu04926","Relaxin signaling pathway",109,10,14,0.764541913900849,0.169604165775014
"mmu04927","Cortisol synthesis and secretion",48,9,6,0.0726406617688104,0.320794609911287
"mmu04928","Parathyroid hormone synthesis, secretion and action",98,15,15,0.111361215199635,0.0503879681703235
"mmu04929","GnRH secretion",50,8,3,0.173783996642549,0.875729433139433
"mmu04930","Type II diabetes mellitus",35,7,2,0.0805559870949674,0.866558092758519
"mmu04931","Insulin resistance",99,22,9,0.00085397334802063,0.631749579371186
"mmu04932","Non-alcoholic fatty liver disease",144,16,11,0.509660932626603,0.837108548900688
"mmu04933","AGE-RAGE signaling pathway in diabetic complications",97,10,22,0.624570351804466,0.000120824144949115
"mmu04934","Cushing syndrome",125,17,19,0.201896858164577,0.0324254070893909
"mmu04935","Growth hormone synthesis, secretion and action",101,14,11,0.209451964819576,0.390435408116759
"mmu04936","Alcoholic liver disease",112,21,16,0.00920488887433851,0.0743469266703885
"mmu04940","Type I diabetes mellitus",39,7,1,0.126782848420719,0.981421178146945
"mmu04950","Maturity onset diabetes of the young",6,1,1,0.500258197295807,0.458010819544648
"mmu04960","Aldosterone-regulated sodium reabsorption",32,6,6,0.129422387754739,0.0840890906912268
"mmu04961","Endocrine and other factor-regulated calcium reabsorption",42,8,6,0.0813282061604979,0.218679746241326
"mmu04962","Vasopressin-regulated water reabsorption",38,2,4,0.930261008275546,0.510674756194353
"mmu04964","Proximal tubule bicarbonate reclamation",18,5,1,0.0392747401876336,0.840907474488492
"mmu04966","Collecting duct acid secretion",19,2,4,0.629993540288388,0.105588760274141
"mmu04970","Salivary secretion",64,12,7,0.0422898278330846,0.429055038435179
"mmu04971","Gastric acid secretion",55,7,9,0.394138587416323,0.081228945072339
"mmu04972","Pancreatic secretion",69,14,6,0.0157285413250089,0.671246348268488
"mmu04973","Carbohydrate digestion and absorption",31,7,1,0.0459817256283506,0.957882564402103
"mmu04974","Protein digestion and absorption",73,10,8,0.271440600745637,0.41421360543874
"mmu04975","Fat digestion and absorption",23,8,3,0.00215481825121751,0.388840256565473
"mmu04976","Bile secretion",48,11,5,0.0127057967980795,0.503924014947036
"mmu04977","Vitamin digestion and absorption",19,5,3,0.0486635365454076,0.278579753661268
"mmu04978","Mineral absorption",46,8,7,0.122977101962286,0.153774974997229
"mmu04979","Cholesterol metabolism",37,9,4,0.0158290194004067,0.489221542482963
"mmu04980","Cobalamin transport and metabolism",16,3,0,0.250712567273206,1
"mmu04981","Folate transport and metabolism",20,3,2,0.375445567730954,0.591230019085332
"mmu05010","Alzheimer disease",339,24,30,0.993843659362524,0.730705483360613
"mmu05012","Parkinson disease",243,11,13,0.999891935494094,0.99534706926967
"mmu05014","Amyotrophic lateral sclerosis",329,11,24,0.999999912119287,0.948324764421125
"mmu05016","Huntington disease",273,17,14,0.997342481889557,0.998122168969973
"mmu05017","Spinocerebellar ataxia",123,9,9,0.930604977673254,0.854927165591426
"mmu05020","Prion disease",238,13,11,0.998938762126611,0.998835432963443
"mmu05022","Pathways of neurodegeneration - multiple diseases",416,19,40,0.999999085358022,0.549410766297146
"mmu05030","Cocaine addiction",35,2,7,0.907706480304243,0.0479869954805776
"mmu05031","Amphetamine addiction",54,1,7,0.998075594075603,0.26719700915768
"mmu05032","Morphine addiction",59,4,7,0.898091671888585,0.347036628327999
"mmu05033","Nicotine addiction",11,0,1,1,0.674737386643682
"mmu05034","Alcoholism",121,20,7,0.0384031933592131,0.955765697353701
"mmu05100","Bacterial invasion of epithelial cells",73,4,16,0.964838199871913,0.00144354002817476
"mmu05132","Salmonella infection",231,13,44,0.998303121497383,9.61192599195639e-06
"mmu05133","Pertussis",64,7,10,0.557096799218893,0.0878299620085814
"mmu05134","Legionellosis",53,5,6,0.700465271829967,0.410231619281073
"mmu05135","Yersinia infection",123,8,24,0.965368310286883,0.000672107948338241
"mmu05140","Leishmaniasis",59,1,11,0.99892269406001,0.0249529950843717
"mmu05142","Chagas disease",88,11,13,0.364573834035843,0.0818663462867696
"mmu05143","African trypanosomiasis",26,2,6,0.792953697212187,0.0349509220178301
"mmu05144","Malaria",40,2,7,0.942284434460247,0.0876951085139871
"mmu05145","Toxoplasmosis",98,6,13,0.963664068101991,0.152685266899295
"mmu05146","Amoebiasis",87,11,8,0.350234724335831,0.617036393087008
"mmu05150","Staphylococcus aureus infection",50,6,10,0.468480049050763,0.0201492539790376
"mmu05152","Tuberculosis",135,11,16,0.883394588922818,0.235469865833133
"mmu05160","Hepatitis C",133,20,19,0.0862420770233288,0.0556064976626527
"mmu05161","Hepatitis B",142,16,20,0.486177509113468,0.0571282733650424
"mmu05162","Measles",109,14,10,0.300361752039008,0.621898865817935
"mmu05163","Human cytomegalovirus infection",201,22,26,0.528519028019583,0.0792110818317299
"mmu05164","Influenza A",128,17,13,0.230497903009021,0.474517763057543
"mmu05165","Human papillomavirus infection",308,37,39,0.291951406629233,0.0509401292158671
"mmu05166","Human T-cell leukemia virus 1 infection",215,29,29,0.134963899893948,0.0429106159516962
"mmu05167","Kaposi sarcoma-associated herpesvirus infection",169,23,22,0.157179494490251,0.0948400027104318
"mmu05168","Herpes simplex virus 1 infection",170,23,16,0.164070226004621,0.589675533682739
"mmu05169","Epstein-Barr virus infection",187,23,24,0.303309773487045,0.095012862696337
"mmu05170","Human immunodeficiency virus 1 infection",188,22,21,0.398083000640352,0.28030102488288
"mmu05171","Coronavirus disease - COVID-19",219,22,33,0.693082445913027,0.00716620900385609
"mmu05200","Pathways in cancer",453,42,78,0.889858812339705,3.40623196891481e-07
"mmu05202","Transcriptional misregulation in cancer",149,20,26,0.19383150535495,0.0022637246969957
"mmu05203","Viral carcinogenesis",186,32,19,0.00614410330733877,0.442359740783061
"mmu05204","Chemical carcinogenesis - DNA adducts",29,3,2,0.627377512573433,0.786964922423456
"mmu05205","Proteoglycans in cancer",183,14,43,0.944756905868352,3.0344612668764e-08
"mmu05206","MicroRNAs in cancer",162,17,32,0.606341112026911,7.36574451793816e-05
"mmu05207","Chemical carcinogenesis - receptor activation",149,16,19,0.567078647874133,0.13186560408996
"mmu05208","Chemical carcinogenesis - reactive oxygen species",204,15,21,0.966326345735582,0.421433678298118
"mmu05210","Colorectal cancer",82,8,18,0.684390098321381,0.000735706505989329
"mmu05211","Renal cell carcinoma",67,4,9,0.943830169139213,0.198757656867584
"mmu05212","Pancreatic cancer",74,9,15,0.418803876567702,0.00444411967630744
"mmu05213","Endometrial cancer",56,6,12,0.582799598861977,0.00658692234458799
"mmu05214","Glioma",71,7,12,0.668907489400151,0.0395089395309907
"mmu05215","Prostate cancer",96,12,19,0.354817778782447,0.00196822595167412
"mmu05216","Thyroid cancer",34,5,6,0.311355227375852,0.106119291563955
"mmu05217","Basal cell carcinoma",52,4,12,0.833831038688377,0.00349385107231374
"mmu05218","Melanoma",62,9,13,0.23152567050548,0.00580563126888566
