"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5,3,1,0.00430024256657553,0.500262769296684
"mmu00410","beta-Alanine metabolism",28,8,3,0.00106926880633214,0.721852821378593
"mmu00430","Taurine and hypotaurine metabolism",15,0,9,1,2.41725374958229e-05
"mmu00440","Phosphonate and phosphinate metabolism",6,1,0,0.388323538759607,1
"mmu00450","Selenocompound metabolism",16,2,0,0.36207960224368,1
"mmu00470","D-Amino acid metabolism",5,0,3,1,0.0177086503384347
"mmu00480","Glutathione metabolism",58,7,10,0.168640454561792,0.212285332843237
"mmu00500","Starch and sucrose metabolism",21,2,1,0.500147322724004,0.945797246738179
"mmu00510","N-Glycan biosynthesis",50,10,4,0.00492775225580725,0.902995772377655
"mmu00511","Other glycan degradation",17,1,4,0.751730408344668,0.1692796897348
"mmu00512","Mucin type O-glycan biosynthesis",24,5,5,0.0360850086933678,0.191739539619522
"mmu00513","Various types of N-glycan biosynthesis",42,6,6,0.108700384449467,0.466031892513077
"mmu00514","Other types of O-glycan biosynthesis",37,6,4,0.0667350847216356,0.723813097590198
"mmu00515","Mannose type O-glycan biosynthesis",21,2,1,0.500147322724004,0.945797246738179
"mmu00520","Amino sugar and nucleotide sugar metabolism",34,4,5,0.276946928228441,0.454880182852167
"mmu00524","Neomycin, kanamycin and gentamicin biosynthesis",2,0,0,1,1
"mmu00531","Glycosaminoglycan degradation",16,3,2,0.126170300147618,0.632750923226719
"mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,1,1,0.805878239146507,0.937720176646505
"mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",13,1,3,0.655367626409966,0.231975736027966
"mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",20,5,3,0.0170725900422472,0.489543463728573
"mmu00541","Biosynthesis of various nucleotide sugars",20,5,0,0.0170725900422472,1
"mmu00561","Glycerolipid metabolism",56,12,9,0.00115323265245308,0.296826263763402
"mmu00562","Inositol phosphate metabolism",70,6,12,0.475680893659215,0.189358530080651
"mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",29,1,3,0.907232011338862,0.744161871589662
"mmu00564","Glycerophospholipid metabolism",90,13,14,0.02339223182614,0.272413067964212
"mmu00565","Ether lipid metabolism",39,6,7,0.0821696152916943,0.234869987019061
"mmu00590","Arachidonic acid metabolism",43,4,7,0.441139528648327,0.319636394781087
"mmu00591","Linoleic acid metabolism",18,5,5,0.010755902214263,0.073199254569848
"mmu00592","alpha-Linolenic acid metabolism",17,5,3,0.00829618347628472,0.381304319471248
"mmu00600","Sphingolipid metabolism",50,5,11,0.357234506988453,0.052039707284078
"mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",24,3,7,0.291441259596744,0.0283824274751615
"mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",14,1,4,0.682494324867858,0.096808150783046
"mmu00604","Glycosphingolipid biosynthesis - ganglio series",12,3,4,0.0624540197979292,0.0589535677905235
"mmu00620","Pyruvate metabolism",39,11,5,0.000145705078909382,0.581461492094236
"mmu00630","Glyoxylate and dicarboxylate metabolism",30,10,0,6.08847533267402e-05,1
"mmu00640","Propanoate metabolism",29,11,0,6.25605205220361e-06,1
"mmu00650","Butanoate metabolism",19,5,2,0.0136704024636474,0.72586250326054
"mmu00670","One carbon pool by folate",32,3,2,0.465971177313772,0.932155357380512
"mmu00730","Thiamine metabolism",11,1,2,0.593970004948271,0.426721528328094
"mmu00740","Riboflavin metabolism",8,1,0,0.480789561781124,1
"mmu00750","Vitamin B6 metabolism",9,3,1,0.0284445337351428,0.713146090139783
"mmu00760","Nicotinate and nicotinamide metabolism",35,2,3,0.77354276637105,0.849335834372794
"mmu00770","Pantothenate and CoA biosynthesis",18,2,0,0.419435014196582,1
"mmu00780","Biotin metabolism",3,0,0,1,1
"mmu00785","Lipoic acid metabolism",17,6,0,0.00135677810142174,1
"mmu00790","Folate biosynthesis",20,3,4,0.204823098014231,0.255057968889844
"mmu00830","Retinol metabolism",31,4,7,0.22403301189269,0.0972933250041534
"mmu00860","Porphyrin metabolism",29,8,0,0.00137603651006855,1
"mmu00900","Terpenoid backbone biosynthesis",22,1,1,0.835248458255786,0.952827250980587
"mmu00910","Nitrogen metabolism",13,4,1,0.015304621739687,0.835368187003256
"mmu00920","Sulfur metabolism",11,1,2,0.593970004948271,0.426721528328094
"mmu00970","Aminoacyl-tRNA biosynthesis",44,8,1,0.0199356913844942,0.997784968775305
"mmu00980","Metabolism of xenobiotics by cytochrome P450",36,5,9,0.149222142915098,0.0364018369791322
"mmu00982","Drug metabolism - cytochrome P450",38,4,15,0.349949625892832,3.79357530778457e-05
"mmu00983","Drug metabolism - other enzymes",52,8,7,0.0488623931632433,0.518197212865593
"mmu01040","Biosynthesis of unsaturated fatty acids",32,15,3,3.9436882253419e-09,0.802567419621724
"mmu01100","Metabolic pathways",1324,202,163,2.11513340520446e-21,0.778000428674679
"mmu01200","Carbon metabolism",107,29,6,2.07099600015444e-09,0.996122634145441
"mmu01210","2-Oxocarboxylic acid metabolism",30,11,1,9.17844722610737e-06,0.984479671913151
"mmu01212","Fatty acid metabolism",58,20,3,7.18668336816681e-09,0.985311306155193
"mmu01230","Biosynthesis of amino acids",69,19,6,9.39483611035826e-07,0.897406287564746
"mmu01232","Nucleotide metabolism",76,13,9,0.00598308714692024,0.664834880928071
"mmu01240","Biosynthesis of cofactors",121,17,9,0.0136858630206081,0.980848684449518
"mmu01250","Biosynthesis of nucleotide sugars",34,4,3,0.276946928228441,0.834938407296583
"mmu01320","Sulfur cycle",2,1,0,0.151112657215506,1
"mmu01521","EGFR tyrosine kinase inhibitor resistance",77,7,17,0.402933997615736,0.0180250333152394
"mmu01522","Endocrine resistance",87,3,18,0.971628227222108,0.0284440617361011
"mmu01523","Antifolate resistance",28,3,9,0.380009244989276,0.00690428050743019
"mmu01524","Platinum drug resistance",68,5,10,0.627763526223074,0.385136464919649
"mmu02010","ABC transporters",39,6,8,0.0821696152916943,0.123720747620018
"mmu03008","Ribosome biogenesis in eukaryotes",77,1,1,0.998205802049036,0.999977656826712
"mmu03010","Ribosome",189,5,1,0.999360380900054,0.999999999996532
"mmu03013","Nucleocytoplasmic transport",105,3,3,0.991008856257684,0.999937459916747
"mmu03015","mRNA surveillance pathway",94,5,3,0.871147102852332,0.999764159321608
"mmu03018","RNA degradation",74,4,4,0.843724531694263,0.990184342717178
"mmu03020","RNA polymerase",32,1,0,0.927479069865859,1
"mmu03022","Basal transcription factors",38,1,3,0.955687154102075,0.886144293441966
"mmu03030","DNA replication",35,0,2,1,0.951818842969874
"mmu03040","Spliceosome",138,0,6,1,0.999828639699148
"mmu03050","Proteasome",43,0,0,1,1
"mmu03060","Protein export",34,7,0,0.015000403047435,1
"mmu03082","ATP-dependent chromatin remodeling",99,3,3,0.986731048822712,0.999870637430839
"mmu03083","Polycomb repressive complex",80,4,5,0.883765261743725,0.983097142097631
"mmu03250","Viral life cycle - HIV-1",59,2,4,0.952212680663241,0.95709489349447
"mmu03260","Virion - Human immunodeficiency virus",1,0,1,1,0.129524417491222
"mmu03264","Virion - Flavivirus and Alphavirus",5,3,1,0.00430024256657553,0.500262769296684
"mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",5,0,1,1,0.500262769296684
"mmu03266","Virion - Herpesvirus",9,2,3,0.153949293588926,0.099993270374047
"mmu03267","Virion - Adenovirus",2,0,0,1,1
"mmu03271","Virion - Rotavirus",2,0,1,1,0.242279458151993
"mmu03272","Virion - Hepatitis viruses",36,3,4,0.546241623581448,0.703138544373491
"mmu03273","Virion - Lassa virus and SFTS virus",12,3,1,0.0624540197979292,0.810849840807543
"mmu03320","PPAR signaling pathway",61,24,8,8.79058004411485e-12,0.542258262089446
"mmu03410","Base excision repair",45,0,2,1,0.985125783856551
"mmu03420","Nucleotide excision repair",57,1,1,0.990699470729589,0.999637318934744
"mmu03430","Mismatch repair",22,0,1,1,0.952827250980587
"mmu03440","Homologous recombination",40,1,2,0.962399001485388,0.973071731440764
"mmu03450","Non-homologous end-joining",12,0,0,1,1
"mmu03460","Fanconi anemia pathway",50,0,3,1,0.965622250541398
"mmu04010","MAPK signaling pathway",263,16,44,0.887776131153412,0.0438198485746762
"mmu04012","ErbB signaling pathway",80,4,12,0.883765261743725,0.339238079545143
"mmu04014","Ras signaling pathway",191,14,34,0.64797153456549,0.0327386168276091
"mmu04015","Rap1 signaling pathway",183,14,32,0.583211513229925,0.0462975536128553
"mmu04020","Calcium signaling pathway",187,15,37,0.507487210270256,0.00528216641513222
"mmu04022","cGMP-PKG signaling pathway",134,11,27,0.486999464947791,0.0122978182355501
"mmu04024","cAMP signaling pathway",162,21,25,0.0159713134811294,0.201398834940193
"mmu04060","Cytokine-cytokine receptor interaction",182,27,37,0.00101850351656248,0.00331180494525208
"mmu04061","Viral protein interaction with cytokine and cytokine receptor",61,10,9,0.0198125950232915,0.392349323003669
"mmu04062","Chemokine signaling pathway",148,11,20,0.622253616256989,0.455826892467935
"mmu04064","NF-kappa B signaling pathway",92,11,8,0.10652819283721,0.922117515107453
"mmu04066","HIF-1 signaling pathway",99,16,16,0.00437593339985162,0.206847495964961
"mmu04068","FoxO signaling pathway",120,10,15,0.472550984650852,0.600010672080966
"mmu04070","Phosphatidylinositol signaling system",91,5,15,0.852470239775549,0.194583462373254
"mmu04071","Sphingolipid signaling pathway",111,7,16,0.779520998364141,0.363416328647607
"mmu04072","Phospholipase D signaling pathway",126,7,27,0.875343085249958,0.00535675524969588
"mmu04080","Neuroactive ligand-receptor interaction",148,17,37,0.0734678326874957,4.93592564545061e-05
"mmu04081","Hormone signaling",135,14,28,0.175135785059765,0.00737108655665913
"mmu04082","Neuroactive ligand signaling",102,9,24,0.410540822681662,0.00238145421408097
"mmu04110","Cell cycle",153,6,7,0.983813872944305,0.999864705650884
"mmu04114","Oocyte meiosis",109,7,11,0.763367614760805,0.850922981353079
"mmu04115","p53 signaling pathway",74,7,6,0.363386534537778,0.929945497655048
"mmu04120","Ubiquitin mediated proteolysis",140,2,6,0.999870382775497,0.999861176147834
"mmu04122","Sulfur relay system",8,0,0,1,1
"mmu04130","SNARE interactions in vesicular transport",32,5,4,0.102485880339572,0.609523582010889
"mmu04136","Autophagy - other",31,3,1,0.444917337674561,0.986493790601237
"mmu04137","Mitophagy - animal",96,10,3,0.221746199271531,0.999814411357978
"mmu04140","Autophagy - animal",157,15,12,0.252811030215192,0.987440819908365
"mmu04141","Protein processing in endoplasmic reticulum",160,23,9,0.00348597217742909,0.999298913057107
"mmu04142","Lysosome",125,22,9,0.000277459771191615,0.985975315420151
"mmu04144","Endocytosis",246,25,26,0.111805900892413,0.890829701122795
"mmu04145","Phagosome",133,29,13,3.73980956693316e-07,0.893587544867753
"mmu04146","Peroxisome",80,16,5,0.000426601434248986,0.983097142097631
"mmu04148","Efferocytosis",146,20,23,0.0104293528795505,0.185154968456194
"mmu04150","mTOR signaling pathway",142,14,20,0.22630626882522,0.379804412208645
"mmu04151","PI3K-Akt signaling pathway",305,30,57,0.119998412941701,0.00257452787525279
"mmu04152","AMPK signaling pathway",115,22,11,7.86535004045959e-05,0.893800192115719
"mmu04210","Apoptosis",123,5,15,0.969455956969329,0.639535872163978
"mmu04211","Longevity regulating pathway",82,10,8,0.10884555157699,0.849494172486691
"mmu04213","Longevity regulating pathway - multiple species",55,3,10,0.817970063018678,0.167769777082971
"mmu04215","Apoptosis - multiple species",29,2,4,0.677144215512055,0.52850771954932
"mmu04216","Ferroptosis",39,12,2,2.80958879331271e-05,0.969717935032554
"mmu04217","Necroptosis",118,13,10,0.135773123083537,0.951255870191401
"mmu04218","Cellular senescence",160,17,13,0.125754198156236,0.979680435376012
"mmu04260","Cardiac muscle contraction",63,5,6,0.55880548024313,0.842069444964768
"mmu04261","Adrenergic signaling in cardiomyocytes",128,13,20,0.206232244549824,0.216126090876617
"mmu04270","Vascular smooth muscle contraction",107,13,19,0.0766513276854548,0.0936811624514947
"mmu04310","Wnt signaling pathway",148,14,20,0.274508566766981,0.455826892467935
"mmu04330","Notch signaling pathway",60,1,12,0.992732702611289,0.0809660040417168
"mmu04340","Hedgehog signaling pathway",51,1,13,0.984769549265159,0.0113406839729752
"mmu04350","TGF-beta signaling pathway",98,12,14,0.0826592668088296,0.390535063578773
"mmu04360","Axon guidance",166,11,38,0.765026054540555,0.00028450804950337
"mmu04370","VEGF signaling pathway",55,5,11,0.437110067470234,0.0921431432475576
"mmu04371","Apelin signaling pathway",118,11,18,0.323603157168503,0.264081014588051
"mmu04380","Osteoclast differentiation",105,15,15,0.017185785776636,0.383854305961784
"mmu04382","Cornified envelope formation",138,19,29,0.0117151360080616,0.00534987882798521
"mmu04390","Hippo signaling pathway",140,13,17,0.307319688623317,0.650564413733048
"mmu04392","Hippo signaling pathway - multiple species",26,2,1,0.617527647387762,0.972939914820123
"mmu04510","Focal adhesion",190,17,35,0.325431061252434,0.0191896101982039
"mmu04512","ECM-receptor interaction",83,11,19,0.0599149619987311,0.00874169610591174
"mmu04514","Cell adhesion molecules",122,12,27,0.251155690545237,0.00336716651481763
"mmu04520","Adherens junction",85,4,12,0.909995072526144,0.421725076419028
"mmu04530","Tight junction",148,15,14,0.187066889372935,0.923518751617806
"mmu04540","Gap junction",73,3,10,0.933696896987317,0.476516778687397
"mmu04550","Signaling pathways regulating pluripotency of stem cells",109,5,26,0.937121946916385,0.00130250541490255
"mmu04610","Complement and coagulation cascades",53,7,15,0.119968693883025,0.00231422885067567
"mmu04611","Platelet activation",112,13,22,0.101019183562451,0.0290454633046201
"mmu04612","Antigen processing and presentation",63,6,8,0.375621358206443,0.580560596788104
"mmu04613","Neutrophil extracellular trap formation",119,9,18,0.598306171969539,0.276217189890016
"mmu04614","Renin-angiotensin system",14,2,3,0.302720546457373,0.268839622912944
"mmu04620","Toll-like receptor signaling pathway",79,9,10,0.166756127709927,0.581705005972301
"mmu04621","NOD-like receptor signaling pathway",148,18,24,0.0423964263011257,0.143923850064404
"mmu04622","RIG-I-like receptor signaling pathway",53,6,1,0.235693388568599,0.999367003677834
"mmu04623","Cytosolic DNA-sensing pathway",63,2,7,0.963654035436468,0.723901869074205
"mmu04625","C-type lectin receptor signaling pathway",87,9,13,0.24391473196225,0.334685027253808
"mmu04630","JAK-STAT signaling pathway",121,12,25,0.242403320710474,0.0114475106249051
"mmu04640","Hematopoietic cell lineage",64,11,13,0.0106053680005703,0.0643250238156869
"mmu04650","Natural killer cell mediated cytotoxicity",69,4,10,0.802006394993301,0.403448770252491
"mmu04657","IL-17 signaling pathway",75,8,8,0.235477052946831,0.771955017398911
"mmu04658","Th1 and Th2 cell differentiation",71,6,12,0.489667089511111,0.202828181036339
"mmu04659","Th17 cell differentiation",83,8,12,0.328089240848982,0.388522854407791
"mmu04660","T cell receptor signaling pathway",100,10,12,0.260397719622174,0.656642945554283
"mmu04662","B cell receptor signaling pathway",62,4,8,0.728992631520039,0.56159056168596
"mmu04664","Fc epsilon RI signaling pathway",54,5,8,0.421241800299701,0.400102167565825
"mmu04666","Fc gamma R-mediated phagocytosis",86,5,13,0.816383546927988,0.319269070889096
"mmu04668","TNF signaling pathway",114,11,15,0.284285670644749,0.515982316322954
"mmu04670","Leukocyte transendothelial migration",94,9,14,0.319534436432498,0.330258582475394
"mmu04672","Intestinal immune network for IgA production",30,6,6,0.027074237947955,0.184745896635179
"mmu04710","Circadian rhythm",33,3,3,0.486663098670779,0.819370000689789
"mmu04713","Circadian entrainment",73,4,9,0.836025858927768,0.615727458531759
"mmu04714","Thermogenesis",215,22,12,0.122707587622399,0.999891390374488
"mmu04720","Long-term potentiation",54,8,4,0.0589507190909948,0.931976577803419
"mmu04721","Synaptic vesicle cycle",56,13,4,0.000320008012050633,0.94330580098129
"mmu04722","Neurotrophin signaling pathway",113,6,13,0.888106127766934,0.718383877516072
"mmu04723","Retrograde endocannabinoid signaling",112,13,12,0.101019183562451,0.799521753548087
"mmu04724","Glutamatergic synapse",88,8,18,0.38885665629849,0.0315778780817711
"mmu04725","Cholinergic synapse",89,6,17,0.710433523571747,0.0631519021880645
"mmu04726","Serotonergic synapse",78,8,16,0.269217899862429,0.0400921207173857
"mmu04727","GABAergic synapse",57,8,12,0.0763796494140872,0.0585656445184939
"mmu04728","Dopaminergic synapse",110,15,13,0.0252410640608267,0.681181875019916
"mmu04730","Long-term depression",51,3,9,0.775883805131184,0.208514543536454
"mmu04740","Olfactory transduction",38,3,4,0.583630987210834,0.743396594131199
"mmu04742","Taste transduction",36,3,7,0.546241623581448,0.177053221645863
"mmu04744","Phototransduction",13,1,0,0.655367626409966,1
"mmu04750","Inflammatory mediator regulation of TRP channels",87,10,14,0.144585423352904,0.231516703889964
"mmu04810","Regulation of actin cytoskeleton",197,16,33,0.484635242112752,0.0715385215365753
"mmu04814","Motor proteins",162,10,23,0.828604474189612,0.351434648849322
"mmu04820","Cytoskeleton in muscle cells",198,18,49,0.294968276398452,4.37851071068348e-06
"mmu04910","Insulin signaling pathway",121,14,12,0.093169493283609,0.874241813683132
"mmu04911","Insulin secretion",62,3,12,0.875476895776421,0.0985333658030431
"mmu04912","GnRH signaling pathway",79,6,11,0.596092198481247,0.447934939109027
"mmu04913","Ovarian steroidogenesis",34,11,7,3.5849107882299e-05,0.142362426679047
"mmu04914","Progesterone-mediated oocyte maturation",82,5,11,0.782674086146131,0.499624117031495
"mmu04915","Estrogen signaling pathway",105,6,20,0.84309277281206,0.0480152534415124
"mmu04916","Melanogenesis",78,6,12,0.583422669161937,0.307087141825652
"mmu04917","Prolactin signaling pathway",62,8,9,0.111589299844175,0.411765239812972
"mmu04918","Thyroid hormone synthesis",56,3,12,0.827378744116213,0.0521276647249524
"mmu04919","Thyroid hormone signaling pathway",110,5,15,0.940189943605866,0.45755746366477
"mmu04920","Adipocytokine signaling pathway",61,8,7,0.103938521956161,0.69144777885701
"mmu04921","Oxytocin signaling pathway",128,14,21,0.130514715102621,0.15015909744689
"mmu04922","Glucagon signaling pathway",84,12,6,0.0309606091990874,0.968983540675882
"mmu04923","Regulation of lipolysis in adipocytes",46,5,8,0.293643524465681,0.2395889118541
"mmu04924","Renin secretion",59,10,12,0.0158988254322443,0.0729767244184145
"mmu04925","Aldosterone synthesis and secretion",77,7,13,0.402933997615736,0.191685197072227
"mmu04926","Relaxin signaling pathway",109,7,19,0.763367614760805,0.107715566007092
"mmu04927","Cortisol synthesis and secretion",48,4,8,0.528165970657282,0.277980517804541
"mmu04928","Parathyroid hormone synthesis, secretion and action",98,8,18,0.509979196719919,0.0780755264523882
"mmu04929","GnRH secretion",50,4,9,0.56109126684224,0.192257649680521
"mmu04930","Type II diabetes mellitus",35,2,6,0.77354276637105,0.29660893742678
"mmu04931","Insulin resistance",99,12,12,0.0876858795211421,0.642565117717032
"mmu04932","Non-alcoholic fatty liver disease",144,15,10,0.160841558264381,0.992893881503251
"mmu04933","AGE-RAGE signaling pathway in diabetic complications",97,5,22,0.887783000779573,0.0056487396393116
"mmu04934","Cushing syndrome",125,7,19,0.870245527617866,0.261841939164113
"mmu04935","Growth hormone synthesis, secretion and action",101,7,13,0.690318403162376,0.554530079327133
"mmu04936","Alcoholic liver disease",112,19,12,0.00111616186926107,0.799521753548087
"mmu04940","Type I diabetes mellitus",39,6,5,0.0821696152916943,0.581461492094236
"mmu04950","Maturity onset diabetes of the young",6,1,1,0.388323538759607,0.565011609724336
"mmu04960","Aldosterone-regulated sodium reabsorption",32,2,9,0.728960450951238,0.0174019662924936
"mmu04961","Endocrine and other factor-regulated calcium reabsorption",42,5,7,0.232362403805502,0.297860064493453
"mmu04962","Vasopressin-regulated water reabsorption",38,3,2,0.583630987210834,0.965963050978792
"mmu04964","Proximal tubule bicarbonate reclamation",18,4,6,0.0478920466785281,0.0217842672430846
"mmu04966","Collecting duct acid secretion",19,7,2,0.000396410114242454,0.72586250326054
"mmu04970","Salivary secretion",64,5,19,0.573108686450273,0.000331942514351722
"mmu04971","Gastric acid secretion",55,8,8,0.0644519396331013,0.420819893029222
"mmu04972","Pancreatic secretion",69,6,17,0.461585612070704,0.00595737597462263
"mmu04973","Carbohydrate digestion and absorption",31,1,7,0.921275363024777,0.0972933250041534
"mmu04974","Protein digestion and absorption",73,3,14,0.933696896987317,0.0837307693573163
"mmu04975","Fat digestion and absorption",23,8,4,0.00024031306528964,0.347351661051907
"mmu04976","Bile secretion",48,7,12,0.0798067901307174,0.0171065255241643
"mmu04977","Vitamin digestion and absorption",19,2,3,0.447115574437535,0.454370639502764
"mmu04978","Mineral absorption",46,15,10,1.24525429778142e-06,0.0666394436777788
"mmu04979","Cholesterol metabolism",37,7,7,0.023398164445227,0.195623408838246
"mmu04980","Cobalamin transport and metabolism",16,2,0,0.36207960224368,1
"mmu04981","Folate transport and metabolism",20,4,6,0.0670041255758918,0.0362939381026375
"mmu05010","Alzheimer disease",339,30,30,0.275179255244144,0.993084063982542
"mmu05012","Parkinson disease",243,25,7,0.100899250859585,0.999999993353824
"mmu05014","Amyotrophic lateral sclerosis",329,27,18,0.437697916139824,0.999998100375442
"mmu05016","Huntington disease",273,21,14,0.575512923543305,0.999995502174113
"mmu05017","Spinocerebellar ataxia",123,5,6,0.969455956969329,0.999195928550303
"mmu05020","Prion disease",238,22,13,0.244093576736062,0.99996153654296
"mmu05022","Pathways of neurodegeneration - multiple diseases",416,33,35,0.506150997135087,0.998737693086403
"mmu05030","Cocaine addiction",35,3,7,0.526826317634836,0.159278457699012
"mmu05031","Amphetamine addiction",54,8,7,0.0589507190909948,0.560054893683081
"mmu05032","Morphine addiction",59,5,10,0.499370431040251,0.228106622258908
"mmu05033","Nicotine addiction",11,0,1,1,0.78268208499092
"mmu05034","Alcoholism",121,10,14,0.483246948006812,0.715061190283673
"mmu05100","Bacterial invasion of epithelial cells",73,5,6,0.689781090683147,0.924278519330028
"mmu05132","Salmonella infection",231,20,24,0.360195012714995,0.900498300410224
"mmu05133","Pertussis",64,10,10,0.0269398288120254,0.312915098732873
"mmu05134","Legionellosis",53,9,7,0.0213399973362418,0.539320281038251
"mmu05135","Yersinia infection",123,10,13,0.504485239165889,0.821539142470511
"mmu05140","Leishmaniasis",59,8,8,0.0895447814612135,0.502647820615798
"mmu05142","Chagas disease",88,13,9,0.0197358358009253,0.820697007863174
"mmu05143","African trypanosomiasis",26,0,10,1,0.000958884855338001
"mmu05144","Malaria",40,7,12,0.0345710957643796,0.00365225426359738
"mmu05145","Toxoplasmosis",98,13,15,0.0431173918056141,0.284041288112525
"mmu05146","Amoebiasis",87,9,16,0.24391473196225,0.0918599483401862
"mmu05150","Staphylococcus aureus infection",50,5,13,0.357234506988453,0.00955508009168064
"mmu05152","Tuberculosis",135,19,8,0.00934797879499387,0.997587073364844
"mmu05160","Hepatitis C",133,8,14,0.830472050319727,0.832868064666872
"mmu05161","Hepatitis B",142,7,17,0.936653321461337,0.673959805230853
"mmu05162","Measles",109,7,18,0.763367614760805,0.16557742165703
"mmu05163","Human cytomegalovirus infection",201,17,23,0.413959312643079,0.769114496060615
"mmu05164","Influenza A",128,8,18,0.797872919787556,0.39223990770487
"mmu05165","Human papillomavirus infection",308,31,43,0.0929838341070019,0.321729296598802
"mmu05166","Human T-cell leukemia virus 1 infection",215,17,22,0.527681078544873,0.906288193956297
"mmu05167","Kaposi sarcoma-associated herpesvirus infection",169,15,16,0.351299911623127,0.934620939137997
"mmu05168","Herpes simplex virus 1 infection",170,19,22,0.0759044074459398,0.536474474041414
"mmu05169","Epstein-Barr virus infection",187,12,25,0.807453078792907,0.465137850089258
"mmu05170","Human immunodeficiency virus 1 infection",188,18,15,0.224457423425277,0.988500860720814
"mmu05171","Coronavirus disease - COVID-19",219,12,27,0.932444798617452,0.63941311355774
"mmu05200","Pathways in cancer",453,34,84,0.639195934622609,0.00038083262224097
"mmu05202","Transcriptional misregulation in cancer",149,5,30,0.99280560414433,0.00875778774272287
"mmu05203","Viral carcinogenesis",186,11,18,0.874045034328753,0.930947504161138
"mmu05204","Chemical carcinogenesis - DNA adducts",29,5,7,0.0731226412242548,0.0723541270819981
"mmu05205","Proteoglycans in cancer",183,14,26,0.583211513229925,0.337154166849273
"mmu05206","MicroRNAs in cancer",162,10,31,0.828604474189612,0.0159778951269069
"mmu05207","Chemical carcinogenesis - receptor activation",149,16,24,0.125751209577283,0.151617325517844
"mmu05208","Chemical carcinogenesis - reactive oxygen species",204,28,17,0.00271322668064699,0.98563865203121
"mmu05210","Colorectal cancer",82,6,11,0.632826264527594,0.499624117031495
"mmu05211","Renal cell carcinoma",67,2,6,0.972437705216623,0.881140882496668
"mmu05212","Pancreatic cancer",74,5,8,0.701299085514111,0.758827031135474
"mmu05213","Endometrial cancer",56,5,6,0.452877776416558,0.749434038298137
"mmu05214","Glioma",71,4,12,0.8196764391625,0.202828181036339
"mmu05215","Prostate cancer",96,6,20,0.776023153552575,0.0202612626415213
"mmu05216","Thyroid cancer",34,4,3,0.276946928228441,0.834938407296583
"mmu05217","Basal cell carcinoma",52,3,14,0.787097622615909,0.00524008037034056
