"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu00590","Arachidonic acid metabolism",43,0,3,1,0.306052383963724
"mmu00591","Linoleic acid metabolism",18,0,1,1,0.564188598178355
"mmu00592","alpha-Linolenic acid metabolism",17,0,1,1,0.543596786527566
"mmu00600","Sphingolipid metabolism",50,1,2,0.732420575753075,0.66556292683817
"mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",24,0,0,1,1
"mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",14,1,1,0.308370318097086,0.475807089819866
"mmu00604","Glycosphingolipid biosynthesis - ganglio series",12,1,3,0.270949346694301,0.0147806571366211
"mmu00620","Pyruvate metabolism",39,0,0,1,1
"mmu00630","Glyoxylate and dicarboxylate metabolism",30,0,0,1,1
"mmu00640","Propanoate metabolism",29,0,0,1,1
"mmu00650","Butanoate metabolism",19,2,0,0.0861325647819493,1
"mmu00670","One carbon pool by folate",32,1,4,0.569687996043738,0.0541416642288441
"mmu00730","Thiamine metabolism",11,0,2,1,0.0852079234448402
"mmu00740","Riboflavin metabolism",8,0,0,1,1
"mmu00750","Vitamin B6 metabolism",9,0,1,1,0.339759220087731
"mmu00760","Nicotinate and nicotinamide metabolism",35,0,0,1,1
"mmu00770","Pantothenate and CoA biosynthesis",18,0,1,1,0.564188598178355
"mmu00780","Biotin metabolism",3,0,0,1,1
"mmu00785","Lipoic acid metabolism",17,0,0,1,1
"mmu00790","Folate biosynthesis",20,0,1,1,0.60263057954431
"mmu00830","Retinol metabolism",31,2,2,0.192126104325719,0.410448292924784
"mmu00860","Porphyrin metabolism",29,1,0,0.534254664892062,1
"mmu00900","Terpenoid backbone biosynthesis",22,5,0,0.00021110921233457,1
"mmu00910","Nitrogen metabolism",13,0,1,1,0.451045936696142
"mmu00920","Sulfur metabolism",11,0,0,1,1
"mmu00970","Aminoacyl-tRNA biosynthesis",44,0,0,1,1
"mmu00980","Metabolism of xenobiotics by cytochrome P450",36,3,1,0.0661584282282962,0.810254157830028
"mmu00982","Drug metabolism - cytochrome P450",38,2,2,0.259466768053515,0.515994503972311
"mmu00983","Drug metabolism - other enzymes",52,2,9,0.392950791646728,0.000470248095687391
"mmu01040","Biosynthesis of unsaturated fatty acids",32,1,3,0.569687996043738,0.173379843189332
"mmu01100","Metabolic pathways",1324,35,57,0.483280806625887,0.66449742133726
"mmu01200","Carbon metabolism",107,1,4,0.940778633215582,0.716392831328434
"mmu01210","2-Oxocarboxylic acid metabolism",30,0,3,1,0.151251515835518
"mmu01212","Fatty acid metabolism",58,1,0,0.783392849445208,1
"mmu01230","Biosynthesis of amino acids",69,1,5,0.838043820503988,0.199494424420811
"mmu01232","Nucleotide metabolism",76,1,13,0.865415966962754,3.13541431636321e-05
"mmu01240","Biosynthesis of cofactors",121,1,11,0.959145906067039,0.0206976054162878
"mmu01250","Biosynthesis of nucleotide sugars",34,0,1,1,0.791877789925566
"mmu01320","Sulfur cycle",2,0,0,1,1
"mmu01521","EGFR tyrosine kinase inhibitor resistance",77,3,5,0.323447811708895,0.266324431732127
"mmu01522","Endocrine resistance",87,1,6,0.899406371523172,0.198279965589767
"mmu01523","Antifolate resistance",28,0,6,1,0.00131955653673503
"mmu01524","Platinum drug resistance",68,1,5,0.833704375799915,0.19157345785572
"mmu02010","ABC transporters",39,0,1,1,0.834825436698189
"mmu03008","Ribosome biogenesis in eukaryotes",77,0,19,1,9.04484417407111e-10
"mmu03010","Ribosome",189,1,3,0.993301819942583,0.992145770748339
"mmu03013","Nucleocytoplasmic transport",105,0,3,1,0.857943677698998
"mmu03015","mRNA surveillance pathway",94,1,0,0.916425781350003,1
"mmu03018","RNA degradation",74,1,2,0.858104102876436,0.852587870338736
"mmu03020","RNA polymerase",32,0,6,1,0.0027234299111322
"mmu03022","Basal transcription factors",38,0,0,1,1
"mmu03030","DNA replication",35,1,6,0.602431720832126,0.00435071810766889
"mmu03040","Spliceosome",138,0,3,1,0.951478048058568
"mmu03050","Proteasome",43,0,1,1,0.862716201272409
"mmu03060","Protein export",34,0,0,1,1
"mmu03082","ATP-dependent chromatin remodeling",99,0,3,1,0.829432145715612
"mmu03083","Polycomb repressive complex",80,1,2,0.87893127273006,0.881293122838248
"mmu03250","Viral life cycle - HIV-1",59,2,0,0.455768809207082,1
"mmu03260","Virion - Human immunodeficiency virus",1,0,0,1,1
"mmu03264","Virion - Flavivirus and Alphavirus",5,1,1,0.123345109180533,0.205950223636709
"mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",5,0,1,1,0.205950223636709
"mmu03266","Virion - Herpesvirus",9,0,0,1,1
"mmu03267","Virion - Adenovirus",2,0,1,1,0.0881088152837416
"mmu03271","Virion - Rotavirus",2,0,0,1,1
"mmu03272","Virion - Hepatitis viruses",36,1,6,0.61278426655326,0.00502585623242859
"mmu03273","Virion - Lassa virus and SFTS virus",12,0,0,1,1
"mmu03320","PPAR signaling pathway",61,2,3,0.473027530724978,0.522866686102168
"mmu03410","Base excision repair",45,1,3,0.694654885153102,0.331048778761882
"mmu03420","Nucleotide excision repair",57,1,2,0.777593289529689,0.734201642255045
"mmu03430","Mismatch repair",22,1,1,0.439845716296456,0.637686054367157
"mmu03440","Homologous recombination",40,2,4,0.278857166563666,0.104384640821536
"mmu03450","Non-homologous end-joining",12,0,0,1,1
"mmu03460","Fanconi anemia pathway",50,1,4,0.732420575753075,0.18746736057663
"mmu04010","MAPK signaling pathway",263,9,15,0.246154873431907,0.208766163284827
"mmu04012","ErbB signaling pathway",80,2,4,0.61923051774559,0.48922328654153
"mmu04014","Ras signaling pathway",191,5,10,0.556167692854327,0.3595290201588
"mmu04015","Rap1 signaling pathway",183,8,12,0.104999840169001,0.124299768312503
"mmu04020","Calcium signaling pathway",187,11,10,0.00982627435958156,0.335433417140449
"mmu04022","cGMP-PKG signaling pathway",134,10,6,0.00262205096979845,0.565126654247756
"mmu04024","cAMP signaling pathway",162,9,8,0.0257825547309233,0.447274454150112
"mmu04060","Cytokine-cytokine receptor interaction",182,6,15,0.335596878501359,0.0178063343992294
"mmu04061","Viral protein interaction with cytokine and cytokine receptor",61,1,6,0.799901871629187,0.0560653545164852
"mmu04062","Chemokine signaling pathway",148,3,10,0.743543463772712,0.131718982459454
"mmu04064","NF-kappa B signaling pathway",92,2,7,0.694330288354084,0.121030801765717
"mmu04066","HIF-1 signaling pathway",99,2,6,0.7322206778226,0.288067388954154
"mmu04068","FoxO signaling pathway",120,3,8,0.606754260459828,0.174094360756981
"mmu04070","Phosphatidylinositol signaling system",91,4,2,0.211690740984056,0.920920376438641
"mmu04071","Sphingolipid signaling pathway",111,3,2,0.553739345819753,0.963130100221715
"mmu04072","Phospholipase D signaling pathway",126,6,8,0.110430661016775,0.208367275181078
"mmu04080","Neuroactive ligand-receptor interaction",148,9,12,0.0152741740185809,0.0354745213273399
"mmu04081","Hormone signaling",135,11,8,0.000796890322561707,0.264103188410173
"mmu04082","Neuroactive ligand signaling",102,4,8,0.27363795388672,0.0892836247710842
"mmu04110","Cell cycle",153,0,31,1,1.31776812116902e-12
"mmu04114","Oocyte meiosis",109,2,12,0.779376409112651,0.00366875975527914
"mmu04115","p53 signaling pathway",74,0,11,1,0.000451285386282389
"mmu04120","Ubiquitin mediated proteolysis",140,2,3,0.882354143480774,0.954677615258031
"mmu04122","Sulfur relay system",8,0,0,1,1
"mmu04130","SNARE interactions in vesicular transport",32,0,0,1,1
"mmu04136","Autophagy - other",31,0,0,1,1
"mmu04137","Mitophagy - animal",96,2,1,0.71649506182697,0.98821482085496
"mmu04140","Autophagy - animal",157,3,1,0.77856409331625,0.999308971016022
"mmu04141","Protein processing in endoplasmic reticulum",160,0,1,1,0.999399122311221
"mmu04142","Lysosome",125,1,3,0.963259998614382,0.925002090172544
"mmu04144","Endocytosis",246,4,3,0.885618041401656,0.999113819398749
"mmu04145","Phagosome",133,3,11,0.675622306353321,0.037963079345425
"mmu04146","Peroxisome",80,1,2,0.87893127273006,0.881293122838248
"mmu04148","Efferocytosis",146,3,7,0.735189486750142,0.488528051321988
"mmu04150","mTOR signaling pathway",142,5,6,0.309622307260604,0.621968029698544
"mmu04151","PI3K-Akt signaling pathway",305,11,18,0.17197556373349,0.147919948391555
"mmu04152","AMPK signaling pathway",115,7,3,0.0304098153898732,0.896244828764536
"mmu04210","Apoptosis",123,3,7,0.623470322809247,0.318773150056349
"mmu04211","Longevity regulating pathway",82,3,4,0.359118571695435,0.508651068421764
"mmu04213","Longevity regulating pathway - multiple species",55,1,3,0.765525376785707,0.45376697692072
"mmu04215","Apoptosis - multiple species",29,0,2,1,0.378220299586867
"mmu04216","Ferroptosis",39,0,0,1,1
"mmu04217","Necroptosis",118,1,3,0.955761539370031,0.9057745134817
"mmu04218","Cellular senescence",160,1,13,0.985502874640203,0.0289902217547631
"mmu04260","Cardiac muscle contraction",63,3,0,0.224723045430048,1
"mmu04261","Adrenergic signaling in cardiomyocytes",128,10,6,0.00187021967145109,0.519962341575806
"mmu04270","Vascular smooth muscle contraction",107,6,6,0.0602262304257999,0.352005303385673
"mmu04310","Wnt signaling pathway",148,5,11,0.340380685251328,0.0711535826682534
"mmu04330","Notch signaling pathway",60,0,0,1,1
"mmu04340","Hedgehog signaling pathway",51,0,0,1,1
"mmu04350","TGF-beta signaling pathway",98,4,11,0.25070054587301,0.00457044119937461
"mmu04360","Axon guidance",166,8,5,0.0683268247733503,0.873756793320839
"mmu04370","VEGF signaling pathway",55,3,2,0.171421215440554,0.715916135719309
"mmu04371","Apelin signaling pathway",118,4,8,0.367725831467224,0.163272399196092
"mmu04380","Osteoclast differentiation",105,4,6,0.291066481975061,0.335856562222839
"mmu04382","Cornified envelope formation",138,13,11,6.34015735445183e-05,0.047494715732809
"mmu04390","Hippo signaling pathway",140,2,8,0.882354143480774,0.296805105279556
"mmu04392","Hippo signaling pathway - multiple species",26,1,0,0.495911388548978,1
"mmu04510","Focal adhesion",190,13,9,0.00141963556296171,0.487764626602584
"mmu04512","ECM-receptor interaction",83,4,6,0.169531711563131,0.170987182958592
"mmu04514","Cell adhesion molecules",122,2,15,0.829710653627736,0.000385516873411409
"mmu04520","Adherens junction",85,0,4,1,0.537146862489093
"mmu04530","Tight junction",148,3,11,0.743543463772712,0.0711535826682534
"mmu04540","Gap junction",73,5,6,0.0411853684660519,0.110673718405477
"mmu04550","Signaling pathways regulating pluripotency of stem cells",109,0,6,1,0.368212980702503
"mmu04610","Complement and coagulation cascades",53,4,9,0.048518213632673,0.000544156305314771
"mmu04611","Platelet activation",112,6,3,0.0717928128926321,0.885857852581123
"mmu04612","Antigen processing and presentation",63,0,8,1,0.0070914529846413
"mmu04613","Neutrophil extracellular trap formation",119,2,5,0.819105187005272,0.62668584452487
"mmu04614","Renin-angiotensin system",14,1,0,0.308370318097086,1
"mmu04620","Toll-like receptor signaling pathway",79,0,5,1,0.283782828810197
"mmu04621","NOD-like receptor signaling pathway",148,5,8,0.340380685251328,0.350833425092289
"mmu04622","RIG-I-like receptor signaling pathway",53,1,1,0.752804347983981,0.913559461629751
"mmu04623","Cytosolic DNA-sensing pathway",63,0,3,1,0.544819404471237
"mmu04625","C-type lectin receptor signaling pathway",87,2,2,0.664637073425623,0.908216998777148
"mmu04630","JAK-STAT signaling pathway",121,2,6,0.826239210075724,0.46513020578974
"mmu04640","Hematopoietic cell lineage",64,3,11,0.231607926015631,0.000120772137659051
"mmu04650","Natural killer cell mediated cytotoxicity",69,3,5,0.266538867279829,0.199494424420811
"mmu04657","IL-17 signaling pathway",75,1,7,0.86180826746686,0.0517692958787882
"mmu04658","Th1 and Th2 cell differentiation",71,1,3,0.846386746231153,0.62640839277294
"mmu04659","Th17 cell differentiation",83,1,5,0.888171381283762,0.319281263431319
"mmu04660","T cell receptor signaling pathway",100,3,1,0.483548794889298,0.990211609793361
"mmu04662","B cell receptor signaling pathway",62,1,2,0.805121042242294,0.775569798045269
"mmu04664","Fc epsilon RI signaling pathway",54,1,1,0.759248661996953,0.917468443188129
"mmu04666","Fc gamma R-mediated phagocytosis",86,2,2,0.658427309702575,0.904754970032626
"mmu04668","TNF signaling pathway",114,6,9,0.0767526790215255,0.0720727932715296
"mmu04670","Leukocyte transendothelial migration",94,4,7,0.228205443396244,0.131334252230896
"mmu04672","Intestinal immune network for IgA production",30,0,4,1,0.0442423919666801
"mmu04710","Circadian rhythm",33,0,2,1,0.441832559274966
"mmu04713","Circadian entrainment",73,5,5,0.0411853684660519,0.232216525932454
"mmu04714","Thermogenesis",215,5,6,0.660565404431165,0.926291381462366
"mmu04720","Long-term potentiation",54,3,2,0.1650334100748,0.706383439035724
"mmu04721","Synaptic vesicle cycle",56,1,3,0.771638840696547,0.465589719252188
"mmu04722","Neurotrophin signaling pathway",113,1,3,0.949488256181749,0.889419142821513
"mmu04723","Retrograde endocannabinoid signaling",112,3,5,0.55983617220732,0.572681674647645
"mmu04724","Glutamatergic synapse",88,3,7,0.401535108719819,0.101737032338973
"mmu04725","Cholinergic synapse",89,6,7,0.0283279912036533,0.106392931114254
"mmu04726","Serotonergic synapse",78,2,4,0.605418551737731,0.469487528478594
"mmu04727","GABAergic synapse",57,2,4,0.438189706040625,0.254838045158187
"mmu04728","Dopaminergic synapse",110,5,4,0.158380896753021,0.736375056390054
"mmu04730","Long-term depression",51,3,2,0.146323829285258,0.676178563031342
"mmu04740","Olfactory transduction",38,1,2,0.632689532262605,0.515994503972311
"mmu04742","Taste transduction",36,2,0,0.240092620592436,1
"mmu04744","Phototransduction",13,0,1,1,0.451045936696142
"mmu04750","Inflammatory mediator regulation of TRP channels",87,4,6,0.190236538608488,0.198279965589767
"mmu04810","Regulation of actin cytoskeleton",197,5,6,0.583745111482591,0.883936883386599
"mmu04814","Motor proteins",162,7,13,0.129762404031364,0.0316381702103364
"mmu04820","Cytoskeleton in muscle cells",198,15,11,0.000212545645727486,0.28116193983733
"mmu04910","Insulin signaling pathway",121,1,3,0.959145906067039,0.914505625857772
"mmu04911","Insulin secretion",62,9,5,2.9612658492742e-05,0.14665493762477
"mmu04912","GnRH signaling pathway",79,3,4,0.33773165621235,0.479391779127576
"mmu04913","Ovarian steroidogenesis",34,2,5,0.220792983793917,0.0172536024239446
"mmu04914","Progesterone-mediated oocyte maturation",82,2,11,0.63266783479189,0.00109174411687272
"mmu04915","Estrogen signaling pathway",105,7,5,0.0196219585711472,0.514877477187943
"mmu04916","Melanogenesis",78,5,7,0.0522239710272731,0.061543405664563
"mmu04917","Prolactin signaling pathway",62,1,2,0.805121042242294,0.775569798045269
"mmu04918","Thyroid hormone synthesis",56,5,6,0.0149097536699183,0.0394648434829608
"mmu04919","Thyroid hormone signaling pathway",110,3,1,0.547592719528961,0.99384743559458
"mmu04920","Adipocytokine signaling pathway",61,0,1,1,0.940310058440402
"mmu04921","Oxytocin signaling pathway",128,8,7,0.0186019021713648,0.355536382218168
"mmu04922","Glucagon signaling pathway",84,3,2,0.373324247521454,0.897462094213499
"mmu04923","Regulation of lipolysis in adipocytes",46,2,5,0.336626986406563,0.0549170359154445
"mmu04924","Renin secretion",59,6,2,0.00418074841205267,0.751475772397753
"mmu04925","Aldosterone synthesis and secretion",77,9,6,0.000167140777597311,0.133319155301244
"mmu04926","Relaxin signaling pathway",109,5,7,0.154228270740898,0.220892938730782
"mmu04927","Cortisol synthesis and secretion",48,5,3,0.00790461428887299,0.368458139910886
"mmu04928","Parathyroid hormone synthesis, secretion and action",98,8,6,0.0039830896027955,0.280239238373394
"mmu04929","GnRH secretion",50,2,2,0.374393007640449,0.66556292683817
"mmu04930","Type II diabetes mellitus",35,0,1,1,0.80127797419481
"mmu04931","Insulin resistance",99,4,5,0.256397689131674,0.462908123570741
"mmu04932","Non-alcoholic fatty liver disease",144,0,2,1,0.990046970747586
"mmu04933","AGE-RAGE signaling pathway in diabetic complications",97,4,10,0.245031032037055,0.0119620369895755
"mmu04934","Cushing syndrome",125,5,8,0.225554088434511,0.202477783005772
"mmu04935","Growth hormone synthesis, secretion and action",101,5,6,0.122748422783503,0.303856628510323
"mmu04936","Alcoholic liver disease",112,2,10,0.792033976244744,0.0297190865860074
"mmu04940","Type I diabetes mellitus",39,0,5,1,0.0297325746651425
"mmu04950","Maturity onset diabetes of the young",6,0,0,1,1
"mmu04960","Aldosterone-regulated sodium reabsorption",32,2,1,0.201632335734658,0.771724483954102
"mmu04961","Endocrine and other factor-regulated calcium reabsorption",42,5,1,0.00445650001085729,0.856218757959297
"mmu04962","Vasopressin-regulated water reabsorption",38,4,2,0.0165136314413979,0.515994503972311
"mmu04964","Proximal tubule bicarbonate reclamation",18,0,2,1,0.193535988464163
"mmu04966","Collecting duct acid secretion",19,1,3,0.393751808091103,0.0515831691561611
"mmu04970","Salivary secretion",64,8,7,0.00024029523324237,0.02459654558133
"mmu04971","Gastric acid secretion",55,3,4,0.171421215440554,0.23504849090536
"mmu04972","Pancreatic secretion",69,9,4,7.04842011940338e-05,0.377903650633936
"mmu04973","Carbohydrate digestion and absorption",31,2,2,0.192126104325719,0.410448292924784
"mmu04974","Protein digestion and absorption",73,5,5,0.0411853684660519,0.232216525932454
"mmu04975","Fat digestion and absorption",23,0,2,1,0.277943025308196
"mmu04976","Bile secretion",48,3,5,0.128373250872348,0.0638330438283897
"mmu04977","Vitamin digestion and absorption",19,0,1,1,0.583852613624516
"mmu04978","Mineral absorption",46,3,2,0.116877773938101,0.62028729072813
"mmu04979","Cholesterol metabolism",37,2,1,0.249774161846521,0.818825439714474
"mmu04980","Cobalamin transport and metabolism",16,1,0,0.343875009419497,1
"mmu04981","Folate transport and metabolism",20,0,3,1,0.0587218511386405
"mmu05010","Alzheimer disease",339,6,5,0.878127709815225,0.999484142479017
"mmu05012","Parkinson disease",243,2,3,0.98798033448235,0.999003120838711
"mmu05014","Amyotrophic lateral sclerosis",329,1,4,0.999842189287888,0.999825258987955
"mmu05016","Huntington disease",273,4,5,0.927322475199642,0.994922958646249
"mmu05017","Spinocerebellar ataxia",123,2,4,0.833119584715645,0.810755220334635
"mmu05020","Prion disease",238,4,6,0.869783234859835,0.960288573345044
"mmu05022","Pathways of neurodegeneration - multiple diseases",416,5,6,0.984814700295751,0.999873908115347
"mmu05030","Cocaine addiction",35,2,3,0.230429609905539,0.208092086452833
"mmu05031","Amphetamine addiction",54,3,4,0.1650334100748,0.225297200597804
"mmu05032","Morphine addiction",59,2,4,0.455768809207082,0.274948960919501
"mmu05033","Nicotine addiction",11,0,1,1,0.397964923952318
"mmu05034","Alcoholism",121,2,3,0.826239210075724,0.914505625857772
"mmu05100","Bacterial invasion of epithelial cells",73,0,4,1,0.419042359666735
"mmu05132","Salmonella infection",231,3,5,0.941714531588492,0.980378789645187
"mmu05133","Pertussis",64,1,9,0.8151554903202,0.00217799096860013
"mmu05134","Legionellosis",53,0,7,1,0.00930617190161773
"mmu05135","Yersinia infection",123,4,4,0.3972435627854,0.810755220334635
"mmu05140","Leishmaniasis",59,0,8,1,0.00474992001108434
"mmu05142","Chagas disease",88,1,9,0.902034539888178,0.0174723663938618
"mmu05143","African trypanosomiasis",26,3,3,0.0290759797240648,0.110142320656262
"mmu05144","Malaria",40,2,8,0.278857166563666,0.000349074365110494
"mmu05145","Toxoplasmosis",98,2,7,0.727062804611576,0.153189886694784
"mmu05146","Amoebiasis",87,3,10,0.394512351473009,0.00567066140661443
"mmu05150","Staphylococcus aureus infection",50,4,12,0.0405047233419976,1.60275784271202e-06
"mmu05152","Tuberculosis",135,3,12,0.68538919176372,0.0189301200247179
"mmu05160","Hepatitis C",133,4,11,0.455444813842852,0.037963079345425
"mmu05161","Hepatitis B",142,4,9,0.506164701883362,0.191438890372665
"mmu05162","Measles",109,2,4,0.779376409112651,0.729835030339855
"mmu05163","Human cytomegalovirus infection",201,7,12,0.268610546760838,0.197005163295009
"mmu05164","Influenza A",128,3,9,0.650236616661858,0.12402178507283
"mmu05165","Human papillomavirus infection",308,12,13,0.107076977969171,0.635970113625651
"mmu05166","Human T-cell leukemia virus 1 infection",215,6,19,0.487741335334091,0.00399879188509104
"mmu05167","Kaposi sarcoma-associated herpesvirus infection",169,1,10,0.9885900548702,0.232374426710233
"mmu05168","Herpes simplex virus 1 infection",170,2,10,0.937944065204283,0.237778027136853
"mmu05169","Epstein-Barr virus infection",187,3,9,0.867892723456192,0.468629522958724
"mmu05170","Human immunodeficiency virus 1 infection",188,3,8,0.870231117600534,0.61646563665445
"mmu05171","Coronavirus disease - COVID-19",219,5,18,0.676337200462498,0.0103470070367971
"mmu05200","Pathways in cancer",453,11,27,0.633524179766515,0.0849804107227583
"mmu05202","Transcriptional misregulation in cancer",149,2,4,0.902625934704558,0.908345441204754
"mmu05203","Viral carcinogenesis",186,5,7,0.532521198488278,0.738731636431667
"mmu05204","Chemical carcinogenesis - DNA adducts",29,2,1,0.173309675379325,0.737783005031253
"mmu05205","Proteoglycans in cancer",183,4,7,0.703970950808606,0.723360835798109
"mmu05206","MicroRNAs in cancer",162,3,15,0.796263874375634,0.0065313872169357
"mmu05207","Chemical carcinogenesis - receptor activation",149,7,9,0.0939628094772244,0.230059575346152
"mmu05208","Chemical carcinogenesis - reactive oxygen species",204,3,4,0.902968572051667,0.983803211837335
"mmu05210","Colorectal cancer",82,1,4,0.88517228746342,0.508651068421764
"mmu05211","Renal cell carcinoma",67,0,3,1,0.586901370709639
"mmu05212","Pancreatic cancer",74,1,6,0.858104102876436,0.116138155814174
"mmu05213","Endometrial cancer",56,1,2,0.771638840696547,0.72518748447735
"mmu05214","Glioma",71,2,6,0.554119022096418,0.100151870543602
"mmu05215","Prostate cancer",96,3,6,0.456746893816807,0.264735786620681
"mmu05216","Thyroid cancer",34,0,2,1,0.457175556867365
"mmu05217","Basal cell carcinoma",52,0,1,1,0.909465611754566
"mmu05218","Melanoma",62,2,6,0.481532464229664,0.0598204395912851
"mmu05219","Bladder cancer",39,1,5,0.642256010816973,0.0297325746651425
"mmu05220","Chronic myeloid leukemia",75,0,5,1,0.249120327316947
"mmu05221","Acute myeloid leukemia",61,0,5,1,0.139652155525296
"mmu05222","Small cell lung cancer",89,3,6,0.408534810144635,0.212497177949138
"mmu05223","Non-small cell lung cancer",71,3,4,0.280689279522543,0.398532347037992
"mmu05224","Breast cancer",124,1,8,0.962271946508928,0.196656637827656
"mmu05225","Hepatocellular carcinoma",152,2,8,0.908626046112407,0.378320131290707
"mmu05226","Gastric cancer",123,2,7,0.833119584715645,0.318773150056349
"mmu05230","Central carbon metabolism in cancer",59,0,3,1,0.50034669882866
"mmu05231","Choline metabolism in cancer",92,3,3,0.429378291264151,0.790106650829405
"mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",77,2,1,0.598371685103231,0.971554391646525
"mmu05310","Asthma",13,0,4,1,0.00211067809592955
"mmu05320","Autoimmune thyroid disease",34,0,4,1,0.0651370271028873
"mmu05321","Inflammatory bowel disease",47,0,7,1,0.00478778863540773
"mmu05322","Systemic lupus erythematosus",67,0,10,1,0.000785495085371125
"mmu05323","Rheumatoid arthritis",69,1,12,0.838043820503988,5.30752185861734e-05
"mmu05330","Allograft rejection",33,0,4,1,0.0595036830230117
"mmu05332","Graft-versus-host disease",34,0,5,1,0.0172536024239446
"mmu05340","Primary immunodeficiency",22,0,0,1,1
"mmu05410","Hypertrophic cardiomyopathy",81,3,2,0.351997857643829,0.88554321196109
