"","Length","Symbol"
"210940",4331,"Spata31e2"
"433281",2004,"Gm5524"
"665903",467,"Gm7846"
"210962",2882,"Spata31e5"
"623924",306,"Gm6462"
"791350",1160,"Gm9898"
"213109",7561,"Phf3"
"19243",4129,"Ptp4a1"
"70988",1094,"Alyreffm1"
"266744",1903,"Lgsn"
"74708",1449,"Dnaaf6rt"
"226957",914,"Gm4850"
"624262",762,"Alyreffm2"
"170771",1359,"Khdrbs2"
"408192",1437,"Gm9839"
"408191",3748,"Semp2l1"
"19076",1937,"Prim2"
"67503",889,"1700001G17Rik"
"19335",4487,"Rab23"
"213539",1815,"Bag2"
"98403",3650,"Zfp451"
"433287",3016,"Gm15455"
"320705",2292,"Bend6"
"13518",23242,"Dst"
"100628580",79,"Mir5103"
"69668",1705,"Ccdc115"
"27993",2249,"Imp4"
"52318",3559,"D1Ertd448e"
"19253",1578,"Ptpn18"
"21755",1246,"Prss39"
"12627",1038,"Cfc1"
"21756",1301,"Prss40"
"211383",4356,"Amer3"
"241051",2676,"AA619741"
"226970",2714,"Arhgef4"
"214469",5080,"Fam168b"
"226971",5469,"Plekhb2"
"50785",3719,"Hs6st1"
"320011",9029,"Uggt1"
"214854",2583,"Neurl3"
"214855",5699,"Arid5a"
"226976",4663,"Kansl3"
"214895",2225,"Lman2l"
"94220",4582,"Cnnm4"
"94218",5283,"Cnnm3"
"78321",1954,"Ankrd23"
"109346",1786,"Ankrd39"
"20353",3805,"Sema4c"
"381337",2577,"Fam178b"
"12859",569,"Cox5b"
"226977",2077,"Actr1b"
"71166",1127,"4933424G06Rik"
"22637",2180,"Zap70"
"56030",6548,"Tmem131"
"70853",4422,"Vwa3b"
"12790",3498,"Cnga3"
"269180",6817,"Inpp4a"
"76178",3862,"Coa5"
"67387",1412,"Unc50"
"269181",7054,"Mgat4a"
"77633",2755,"4930594C11Rik"
"100861893",736,NA
"72097",4361,"Cracdl"
"100503734",2218,"Gm19863"
"211484",3400,"Tsga10"
"623661",1555,"Lipt1"
"69028",1229,"Mitd1"
"107734",691,"Mrpl30"
"332427",2564,"Lyg2"
"69541",798,"Lyg1"
"98258",4596,"Txndc9"
"226982",7797,"Eif5b"
"56210",4262,"Rev1"
"16764",6010,"Aff3"
"381338",5077,"Lonrf2"
"98388",3120,"Chst10"
"100503760",2386,NA
"433292",1001,"Nms"
"68833",1706,"Pdcl3"
"18143",4180,"Npas2"
"114641",1254,"Rpl31"
"54610",4440,"Tbc1d8"
"52846",3170,"Cnot11"
"100217461",94,"Snord89"
"67702",2434,"Rnf149"
"263764",5799,"Creg2"
"619289",2000,"Rfx8"
"100042065",359,"Gm3646"
"73426",531,"1700066B17Rik"
"26921",5974,"Map4k4"
"100047133",858,"Gm16894"
"16178",1343,"Il1r2"
"16177",5035,"Il1r1"
"107527",1950,"Il1rl2"
"17082",6967,"Il1rl1"
"16182",4781,"Il18r1"
"16174",2487,"Il18rap"
"110895",3822,"Slc9a4"
"226999",3493,"Slc9a2"
"211798",3152,"Mfsd9"
"381339",1096,"Tmem182"
"74897",573,"4930448I06Rik"
"66297",546,"Pantr1"
"18993",3065,"Pou3f3"
"73100",2841,"2900092D14Rik"
"69527",1419,"Mrps9"
"93690",3860,"Gpr45"
"73122",5538,"Tgfbrap1"
"98404",3457,"AI597479"
"14200",1563,"Fhl2"
"666642",647,"Gm8210"
"17974",2775,"Nck2"
"100861934",1421,NA
"78896",888,"Ecrg4"
"67883",1263,"Uxs1"
"100503192",585,NA
"22019",4649,"Tpp2"
"433294",1086,"Mettl21c"
"75623",1265,"Tex30"
"72050",2324,"Poglut2"
"246229",3571,"Bivm"
"22592",4010,"Ercc5"
"100861960",766,NA
"403183",3181,"Mettl21e"
"70676",2976,"Gulp1"
"75066",906,"4930521E06Rik"
"12825",5564,"Col3a1"
"12832",6615,"Col5a2"
"73674",2612,"Wdr75"
"433297",641,"Gm5526"
"53945",3380,"Slc40a1"
"100042453",717,"Gm3852"
"212225",3483,"Stk-ps2"
"227058",12318,"Dnah7b"
"100101919",12384,"Dnah7c"
"227059",4961,"Slc39a10"
"442837",542,"C230029F24Rik"
"56363",3339,"Tmeff2"
"442821",2552,"9330175M20Rik"
"20324",3055,"Cavin2"
"109019",2838,"Nabp1"
"100045066",3051,"Gm17767"
"17912",5042,"Myo1b"
"20849",2981,"Stat4"
"100042634",432,"Gm3940"
"20846",5356,"Stat1"
"14660",7488,"Gls"
"17936",5088,"Nab1"
"227094",3394,"Nemp2"
"98682",5591,"Mfsd6"
"16329",1776,"Inpp1"
"227095",1704,"Hibch"
"67080",834,"1700019D03Rik"
"17700",2682,"Mstn"
"69397",627,"1700019A02Rik"
"227099",3032,"Pms1"
"227102",1846,"Ormdl1"
"72085",2283,"Osgepl1"
"70396",2362,"Asnsd1"
"627872",12272,"Dnah7a"
"98267",3278,"Stk17b"
"329152",11336,"Hecw2"
"78016",3807,"Ccdc150"
"98488",3005,"Gtf3c3"
"241062",10579,"Pgap1"
"329154",6140,"Ankrd44"
"81898",6192,"Sf3b1"
"67876",1733,"Coq10b"
"15510",2332,"Hspd1"
"15528",768,"Hspe1"
"19070",2826,"Mob4"
"74013",3677,"Rftn2"
"212679",2882,"Mars2"
"75388",1258,"Boll"
"227120",6555,"Plcl1"
"626009",1369,"Gm6644"
"329159",1906,"9130227L01Rik"
"71066",1408,"Hsfy2"
"212712",5286,"Satb2"
"329160",3728,"9130024F11Rik"
"407809",3304,"BC055402"
"75323",2052,"4930558J18Rik"
"73467",3008,"1700066M21Rik"
"68736",1442,"Tyw5"
"68115",1325,"Maip1"
"67198",4045,"Spats2l"
"51960",2733,"Kctd18"
"68549",5416,"Sgo2a"
"11761",4382,"Aox1"
"71724",4360,"Aox3"
"71872",4973,"Aox4"
"213043",4776,"Aox2"
"66882",2833,"Bzw1"
"12747",3088,"Clk1"
"70225",1630,"Ppil3"
"65102",2105,"Nif3l1"
"18393",3371,"Orc2"
"100504455",2126,"Gm15834"
"213056",8695,"Hycc2"
"66495",532,"Ndufb3"
"100504501",936,"Gm20257"
"108812",1579,"Flacc1"
"12633",7814,"Cflar"
"12370",2777,"Casp8"
"70827",6240,"Trak2"
"227154",2318,"Stradb"
"73463",2131,"C2cd6"
"381259",1972,"Tmem237"
"227157",3087,"Mpp4"
"74018",7038,"Als2"
"271697",1477,"Cdk15"
"14369",4809,"Fzd7"
"381260",3595,"Gm973"
"22218",1215,"Sumo1"
"55989",1976,"Nop58"
"100217459",53,"Snord70"
"100217421",63,"Snord11"
"12168",3507,"Bmpr2"
"100504533",314,NA
"72750",5532,"Fam117b"
"70375",3650,"Ica1l"
"57750",3376,"Wdr12"
"241066",2604,"Carf"
"100504573",431,"Gm15464"
"269198",12108,"Nbeal1"
"77951",1501,"Cyp20a1"
"329165",5974,"Abi2"
"77300",9117,"Raph1"
"100043027",207,NA
"100042533",791,"Gm11578"
"12487",4317,"Cd28"
"100504618",845,"Gm11579"
"12477",1931,"Ctla4"
"54167",3254,"Icos"
"77341",892,"9530026F06Rik"
"72823",8392,"Pard3b"
"18187",8122,"Nrp2"
"74992",895,"4930487H11Rik"
"227195",13529,"Ino80d"
"100380944",1802,"Ino80dos"
"100504668",1301,"Gm20342"
"227197",2927,"Ndufs1"
"55949",1933,"Eef1b2"
"100217464",113,"Snora41"
"241070",1606,"Cmklr2"
"73884",12621,"Zdbf2"
"23792",6879,"Adam23"
"241073",2427,"Dytn"
"76668",1711,"Mdh1b"
"75619",3205,"Fastkd2"
"74426",1756,"4933402D24Rik"
"433315",1432,"Gm13749"
"93691",1344,"Klf7"
"12912",8421,"Creb1"
"67099",2666,"Mettl21a"
"69941",713,"2810408I11Rik"
"227210",2927,"Ccnyl1"
"14367",6914,"Fzd5"
"241075",8562,"Plekhm3"
"70861",1353,"Akr1cl"
"667276",1020,"Gm8550"
"12968",642,"Cryge"
"12967",635,"Crygd"
"12966",612,"Crygc"
"12965",605,"Crygb"
"12964",615,"Cryga"
"98303",2180,"D630023F18Rik"
"15926",2438,"Idh1"
"18711",11255,"Pikfyve"
"213527",2414,"Pth2r"
"12969",622,"Crygf"
"17756",5520,"Map2"
"100038569",1663,"Gm10558"
"329178",13533,"Unc80"
"66646",2630,"Rpe"
"68691",4760,"Kansl1l"
"11363",1892,"Acadl"
"100862127",515,NA
"17901",1111,"Myl1"
"14768",4461,"Lancl1"
"227231",4704,"Cps1"
"13869",4257,"Erbb4"
"100502712",2069,"Gm19335"
"22779",9424,"Ikzf2"
"66722",2270,"Spag16"
"320460",4655,"Vwc2l"
"12021",5448,"Bard1"
"74591",8323,"Abca12"
"108147",2611,"Atic"
"14268",8312,"Fn1"
"100042814",1193,"Apol7d"
"667931",1019,"Gm8883"
"71134",1093,"4933417E11Rik"
"433319",483,"Gm5528"
"381269",2493,"Mreg"
"111175",1186,"Pecr"
"271711",2815,"Tmem169"
"22596",2556,"Xrcc5"
"381270",4187,"Marchf4"
"54380",6715,"Smarcal1"
"319695",4573,"Ankar"
"19981",588,"Rpl37a"
"16008",1330,"Igfbp2"
"16011",5854,"Igfbp5"
"21958",427,"Tnp1"
"69449",571,"Teshl"
"723792",1560,"Pinc"
"78718",551,"D530049I02Rik"
"109198",1801,"6030407O03Rik"
"21961",9966,"Tns1"
"435626",2336,"Rufy4"
"100862357",817,NA
"12765",3043,"Cxcr2"
"227288",1125,"Cxcr1"
"100316687",67,"Mir1928"
"76709",1597,"Arpc2"
"227289",990,"Gpbar1"
"227290",1820,"Aamp"
"56695",3501,"Pnkd"
"69660",2309,"Tmbim1"
"241112",2101,"Catip"
"18173",2304,"Slc11a1"
"227292",2776,"Ctdsp1"
"387219",85,"Mir26b"
"22349",3117,"Vil1"
"319651",7196,"Usp37"
"58184",3266,"Cnot9"
"18802",3121,"Plcd4"
"77264",7472,"Zfp142"
"66821",1829,"Bcs1l"
"57751",1475,"Rnf25"
"269209",5235,"Stk36"
"67534",4253,"Ttll4"
"104086",1890,"Cyp27a1"
"241113",2832,"Prkag3"
"22420",2068,"Wnt6"
"22409",1962,"Wnt10a"
"12570",2704,"Cdk5r2"
"260298",1479,"Fev"
"12958",702,"Cryba2"
"723900",64,"Mir375"
"241116",5718,"Cfap65"
"16147",2444,"Ihh"
"75570",860,"Nhej1"
"22626",2059,"Slc23a3"
"69171",2738,"Cnppd1"
"227298",2557,"Retreg2"
"68818",1299,"Zfand2b"
"74104",2934,"Abcb6"
"245860",3764,"Atg9a"
"52231",2764,"Ankzf1"
"74577",3451,"Glb1l"
"20872",2885,"Stk16"
"22145",2053,"Tuba4a"
"381272",767,"A630095N17Rik"
"56812",3203,"Dnajb2"
"19275",3535,"Ptprn"
"19711",710,"Resp18"
"13437",1946,"Dnpep"
"13346",2150,"Des"
"100503248",676,"Gm15179"
"11790",11933,"Speg"
"69080",1528,"Gmppa"
"100862164",449,NA
"241118",2650,"Asic4"
"74241",3235,"Chpf"
"319998",2185,"Tmem198"
"98733",5770,"Obsl1"
"16322",1463,"Inha"
"71728",4458,"Stk11ip"
"20536",4441,"Slc4a3"
"100862333",771,NA
"620079",2188,"Gm17751"
"13838",6328,"Epha4"
"18505",3868,"Pax3"
"100039210",1208,"Gm2102"
"433323",3998,"Sgpp2"
"23874",2132,"Farsb"
"68393",1206,"Mogat1"
"74205",3950,"Acsl3"
"195434",3981,"Utp14b"
"57814",2463,"Kcne4"
"20254",2485,"Scg2"
"100862182",832,NA
"252903",2876,"Ap1s3"
"69368",4714,"Wdfy1"
"100038695",1791,"Gm10555"
"69163",1424,"Mrpl44"
"100862198",480,NA
"20720",2055,"Serpine2"
"241128",2862,"Fam124b"
"26554",2764,"Cul3"
"72208",394,"1700016L21Rik"
"210293",7303,"Dock10"
"241134",4919,"Nyap2"
"16367",9163,"Irs1"
"100503073",3039,"Gm19537"
"76867",3757,"Rhbdd1"
"100503095",2833,"Gm19552"
"12829",7808,"Col4a4"
"12828",8609,"Col4a3"
"75734",1866,"Mff"
"66261",1503,"Tm4sf20"
"100044526",654,"Gm17764"
"15463",3137,"Agfg1"
"80721",2974,"Slc19a3"
"71386",992,"Krtap28-13"
"20297",802,"Ccl20"
"71227",1670,"Daw1"
"77629",6512,"Sphkap"
"98496",2667,"Pid1"
"227325",3632,"Dner"
"100628595",77,"Mir5126"
"14897",9632,"Trip12"
"66153",900,"Fbxo36"
"71781",2349,"Slc16a14"
"100503433",891,"Gm15433"
"381287",1760,"Sp140l1"
"621875",1334,"A530040E14Rik"
"100040135",1348,NA
"665378",1621,"Gm7609"
"620078",1971,"Sp140l2"
"100040213",891,"Gm2666"
"100039794",1073,"Gm2427"
"665338",891,NA
"109032",1971,"Sp110"
"434484",2417,"Sp140"
"100503502",852,"Gm10552"
"100503045",659,NA
"20684",2158,"Sp100"
"319997",1936,"A630001G21Rik"
"12283",3800,"Cab39"
"64294",2024,"Itm2c"
"71141",1148,"4933407L21Rik"
"227326",2550,"Gpr55"
"70060",1602,"Spata3"
"72792",3331,"2810459M11Rik"
"70247",3256,"Psmd1"
"15559",2072,"Htr2b"
"78795",5258,"Armc9"
"100861644",653,NA
"227327",2595,"B3gnt7"
"383538",483,"Gm5258"
"17975",8257,"Ncl"
"100303740",116,"Snora75"
"80828",68,"Snord82"
"319336",1266,"C130036L24Rik"
"14767",1218,"Nmur1"
"71863",1721,"Tex44"
"19231",1192,"Ptma"
"18582",1092,"Pde6d"
"26895",2231,"Cops7b"
"18159",1042,"Nppc"
"208718",3171,"Dis3l2"
"11650",2113,"Alppl2"
"76768",2337,"Alpi"
"11648",1680,"Akp3"
"13599",2698,"Ecel1"
"69453",1999,"Prss56"
"11447",2910,"Chrnd"
"11449",1921,"Chrng"
"26987",4928,"Eif4e2"
"98363",1805,"Efhd1"
"227331",5743,"Gigyf2"
"100040591",1349,"Kcnj13"
"73234",462,"Snorc"
"53972",3384,"Ngef"
"319977",1676,"A530079E22Rik"
"620454",1602,"Gm6153"
"23956",2018,"Neu2"
"16331",4938,"Inpp5d"
"77040",3180,"Atg16l1"
"100217415",248,"Scarna6"
"20215",1718,"Sag"
"100503175",947,"Gm19582"
"227333",5694,"Dgkd"
"227334",5316,"Usp40"
"394430",3242,"Ugt1a10"
"394434",3216,"Ugt1a9"
"394432",3294,"Ugt1a7c"
"394435",2293,"Ugt1a6b"
"94284",3302,"Ugt1a6a"
"394433",3208,"Ugt1a5"
"22236",3206,"Ugt1a2"
"15504",1017,"Dnajb3"
"394436",3229,"Ugt1a1"
"100040766",7526,"Mroh2a"
"381280",8439,"Hjurp"
"78605",3662,"6430706D22Rik"
"171382",3844,"Trpm8"
"75396",870,"Spp2"
"14659",1957,"Glrp1"
"100503197",2622,"Gm19589"
"320982",3967,"Arl4c"
"78650",476,"Platr5"
"73475",603,"1700067G17Rik"
"98402",3673,"Sh3bp4"
"77331",591,"C030007H22Rik"
"347722",9581,"Agap1"
"74403",3611,"4933400F21Rik"
"14472",2126,"Gbx2"
"208372",1404,"Asb18"
"74918",3210,"Iqca1"
"12778",2579,"Ackr3"
"108679",1843,"Cops8"
"433332",1207,"Gm9991"
"12835",10841,"Col6a3"
"171531",4484,"Mlph"
"623503",261,"Prlh"
"19329",1950,"Rab17"
"16978",5743,"Lrrfip1"
"329207",3851,"Rbm44"
"51801",3022,"Ramp1"
"67921",1363,"Ube2f"
"665783",892,NA
"50880",2207,"Scly"
"227357",5442,"Espnl"
"100503326",684,NA
"70788",3020,"Klhl30"
"227358",2815,"Erfe"
"67444",1368,"Ilkap"
"67086",547,"1700020N18Rik"
"55927",1335,"Hes6"
"18627",5837,"Per2"
"74019",3500,"Traf3ip1"
"65247",6072,"Asb1"
"13345",1312,"Twist2"
"208727",3960,"Hdac4"
"67273",1220,"Ndufa10"
"259040",939,"Or6b2"
"258228",936,"Or6b2b"
"259041",1189,"Or6b3"
"259039",1082,"Or9s23"
"258274",966,"Or9s27"
"258483",972,"Or9s15"
"258484",969,"Or9s14"
"257890",1121,"Or9s13"
"66915",711,"Cops9"
"260301",704,"Otos"
"14733",3552,"Gpc1"
"100504295",543,NA
"387167",66,"Mir149"
"241158",3243,"Ankmy1"
"67446",1491,"Dusp28"
"108657",3039,"Rnpepl1"
"100037260",1689,"9430060I03Rik"
"23830",2877,"Capn10"
"64095",4396,"Gpr35"
"208760",1088,"Aqp12"
"16560",8257,"Kif1a"
"11611",1517,"Agxt"
"71874",2362,"Mab21l4"
"381284",7348,"Crocc2"
"208777",4474,"Sned1"
"69821",3315,"Mterf4"
"269224",5119,"Pask"
"66385",3653,"Ppp1r7"
"404545",3217,"Ano7"
"110611",6238,"Hdlbp"
"18000",3335,"Septin2"
"227377",3912,"Farp2"
"59041",3254,"Stk25"
"51800",1432,"Bok"
"67026",2160,"Thap4"
"66615",2964,"Atg4b"
"21915",1310,"Dtymk"
"66262",4539,"Ing5"
"98314",3058,"D2hgdh"
"381334",2846,"Gal3st2"
"100041596",1185,"Gal3st2b"
"666009",570,"Gm7889"
"619597",4059,"Gal3st2c"
"241159",4511,"Neu4"
"18566",1930,"Pdcd1"
"74689",1565,"4930440C22Rik"
"67698",2107,"Fam174a"
"20452",5677,"St8sia4"
"75381",761,"4930598F16Rik"
"100504401",921,NA
"73454",356,"1700063A18Rik"
"75159",583,"4930533P14Rik"
"227394",2394,"Slco4c1"
"329217",3849,"Panct2"
"67854",2475,"Slco6b1"
"74441",2433,"Slco6c1"
"634331",2091,"Gm7133"
"634346",2300,"Gm7135"
"52392",2738,"Macir"
"227399",5565,"Ppip5k2"
"252876",2041,"Gin1"
"18484",4103,"Pam"
"78603",1178,"B230216N24Rik"
"69030",1687,"1810006J02Rik"
"70866",2328,"Slco6d1"
"100504494",800,NA
"241175",5120,"Cntnap5b"
"100504525",886,"Gm20268"
"23836",3722,"Cdh20"
"320311",8529,"Rnf152"
"100504568",1284,"Gm17634"
"27392",6777,"Pign"
"227446",5406,"Relch"
"100042023",231,"Gm10193"
"21934",5022,"Tnfrsf11a"
"635504",465,"Gm7160"
"227449",6661,"Zcchc2"
"626049",545,"Gm20753"
"98432",6104,"Phlpp1"
"12043",7749,"Bcl2"
"320761",1243,"D630008O14Rik"
"70750",5582,"Kdsr"
"20479",3272,"Vps4b"
"20724",2565,"Serpinb5"
"71869",1735,"Serpinb12"
"241196",1607,"Serpinb13"
"20248",1629,"Serpinb3a"
"394252",1164,"Serpinb3d"
"383548",1632,"Serpinb3b"
"381286",1659,"Serpinb3c"
"66957",1699,"Serpinb11"
"116872",1887,"Serpinb7"
"18788",2047,"Serpinb2"
"241197",3490,"Serpinb10"
"20725",3289,"Serpinb8"
"241201",3353,"Cdh7"
"227485",3054,"Cdh19"
"319901",5763,"Dsel"
"636808",3915,"Cntnap5a"
"634762",729,"Zfp658"
"22099",3040,"Tsn"
"67949",1894,"Nifk"
"76707",7899,"Clasp1"
"68204",597,"2900060B14Rik"
"81879",9270,"Tfcp2l1"
"14633",6708,"Gli2"
"16324",4255,"Inhbb"
"100502628",748,"Gm19295"
"64143",2277,"Ralb"
"226351",2830,"Tmem185b"
"226352",7746,"Epb41l5"
"19258",4707,"Ptpn4"
"66343",3301,"Tmem177"
"226356",2511,"Cfap221"
"319229",1924,"Sctr"
"170706",1017,"Tmem37"
"13167",745,"Dbi"
"73103",1089,"3110009E18Rik"
"68428",3177,"Steap3"
"226359",2000,"C1ql2"
"17167",1985,"Marco"
"13798",2554,"En1"
"98452",1580,"Celrr"
"72999",2524,"Insig2"
"70829",7256,"Ccdc93"
"15564",2019,"Htr5b"
"66942",2249,"Ddx18"
"100502702",453,NA
"269109",4630,"Dpp10"
"74117",2746,"Actr3"
"74150",2597,"Slc35f5"
"71111",2690,"Gpr39"
"72585",2047,"Lypd1"
"210356",7593,"Nckap5"
"107895",3104,"Mgat5"
"667090",484,"Gm8451"
"72160",2517,"Tmem163"
"266645",2303,"Acmsd"
"100502745",464,"2900009J06Rik"
"72949",3514,"Ccnt2"
"22625",3936,"Map3k19"
"226407",4251,"Rab3gap1"
"226409",4154,"Zranb3"
"226412",4812,"R3hdm1"
"387147",70,"Mir128-1"
"67812",4093,"Ubxn4"
"226413",6166,"Lct"
"17219",2901,"Mcm6"
"226414",2509,"Dars1"
"12767",1814,"Cxcr4"
"210417",6253,"Thsd7b"
"100042740",613,"Rpl31-ps9"
"13137",1324,"Cd55b"
"13136",2527,"Cd55"
"22789",2034,"Zp3r"
"12269",1883,"C4bp"
"12270",754,"C4bp-ps1"
"18640",9621,"Pfkfb2"
"226418",3843,"Yod1"
"212439",2909,"AA986860"
"64435",1911,"Fcamr"
"100502856",1065,NA
"18703",3849,"Pigr"
"69169",1491,"Fcmr"
"93672",1116,"Il24"
"58181",824,"Il20"
"329244",1023,"Il19"
"16153",1306,"Il10"
"17164",2567,"Mapkapk2"
"226419",2072,"Dyrk3"
"16865",2290,"Eif2d"
"54354",3405,"Rassf5"
"56489",3203,"Ikbke"
"14270",8040,"Srgap2"
"108900",2105,"Fam72a"
"26361",4148,"Avpr1b"
"13034",2120,"Ctse"
"226421",2523,"Rab7b"
"320718",3640,"Slc26a9"
"212933",3540,"Pm20d1"
"98396",4660,"Slc41a1"
"226422",1189,"Rab29"
"98415",6096,"Nucks1"
"212980",3426,"Slc45a3"
"13714",3671,"Elk4"
"213006",4853,"Mfsd4a"
"18557",3046,"Cdk18"
"723818",97,"Mir135b"
"213409",958,"Lemd1"
"213417",4269,"Klhdc8a"
"74137",3132,"Nuak2"
"68875",3410,"Tmcc2"
"213452",6385,"Dstyk"
"213464",3632,"Rbbp5"
"74626",1742,"Tmem81"
"21367",9535,"Cntn2"
"269116",10379,"Nfasc"
"100038653",1879,"Gm10538"
"16980",3346,"Lrrn2"
"17248",3490,"Mdm4"
"240752",7929,"Pik3c2b"
"108954",5588,"Ppp1r15b"
"240753",7457,"Plekha6"
"100502933",3112,"Gm19461"
"68338",1842,"Golt1a"
"280287",496,"Kiss1"
"19701",1423,"Ren1"
"214253",2279,"Etnk2"
"20668",3531,"Sox13"
"20643",492,"Snrpe"
"70579",4395,"Zc3h11a"
"667118",5007,"Zbed6"
"240754",2371,"Lax1"
"381290",8292,"Atp2b4"
"269120",2074,"Optc"
"116847",3602,"Prelp"
"100502984",884,NA
"14264",2859,"Fmod"
"100502999",532,NA
"12227",3083,"Btg2"
"667414",432,"Gm8618"
"71884",1711,"Chit1"
"12654",1689,"Chi3l1"
"53311",1829,"Mybph"
"11539",5786,"Adora1"
"17928",1480,"Myog"
"68507",6067,"Ppfia4"
"57439",3169,"Tmem183a"
"240755",1770,"Mgat4f"
"72017",1626,"Cyb5r1"
"72674",2024,"Adipor1"
"100861791",590,NA
"240756",3196,"Klhl12"
"98710",1960,"Rabif"
"100503055",641,NA
"71001",1457,"Mgat4e"
"75605",6300,"Kdm5b"
"20980",3386,"Syt2"
"329251",6185,"Ppp1r12b"
"67196",1079,"Ube2t"
"329252",3623,"Lgr6"
"13924",6089,"Ptprv"
"100038590",915,"Gm10535"
"320139",3264,"Ptpn7"
"68724",1702,"Arl8a"
"171469",2253,"Gpr37l1"
"13710",2000,"Elf3"
"215615",2301,"Rnpep"
"21854",917,"Timm17a"
"93689",3942,"Lmod1"
"77552",1190,"Shisa4"
"226432",6236,"Ipo9"
"215690",12767,"Nav1"
"13007",1770,"Csrp1"
"27280",1467,"Phlda3"
"21952",1114,"Tnni1"
"16763",2992,"Lad1"
"21956",1194,"Tnnt2"
"18772",4486,"Pkp1"
"226438",8996,"Igfn1"
"66241",1750,"Tmem9"
"12292",6260,"Cacna1s"
"329253",508,"Gm15850"
"16565",9119,"Kif21b"
"76422",2922,"Mroh3"
"67313",3013,"Inava"
"100042513",584,"Gm3878"
"383563",1960,"Gpr25"
"67886",7823,"Camsap2"
"320054",2097,"9230116N13Rik"
"67997",2228,"Ddx59"
"381293",8770,"Kif14"
"71084",1846,"4933409D19Rik"
"226442",5275,"Zfp281"
"100503460",489,"Gm19705"
"100503474",1199,"Platr22"
"667686",385,"Gm8762"
"26424",3857,"Nr5a2"
"320138",3023,"A130050O07Rik"
"735252",87,"Mir181a-1"
"723890",80,"Mir181b-1"
"19264",5664,"Ptprc"
"338375",1887,"Atp6v1g3"
"59125",3366,"Nek7"
"545363",1930,"Gm5833"
"16876",5750,"Lhx9"
"69549",571,"2310009B15Rik"
"75546",410,"1700019P21Rik"
"329260",8314,"Dennd1b"
"170788",4702,"Crb1"
"71209",1111,"4933436E23Rik"
"226470",8362,"Zbtb41"
"12316",9866,"Aspm"
"14060",2378,"F13b"
"50702",1732,"Cfhr1"
