"NGenes","Direction","PValue","FDR","Contrast"
151,"Down",2.03456445943153e-08,1.42393758179708e-06,"B.LvsP.MORI_IMMATURE_B_LYMPHOCYTE_DN"
44,"Down",2.10333321644615e-08,1.43605662236026e-06,"B.LvsP.KEGG_PROTEASOME"
90,"Down",2.10382684773342e-08,1.43605662236026e-06,"B.LvsP.ZHANG_RESPONSE_TO_CANTHARIDIN_DN"
74,"Down",2.59802931037743e-08,1.75176878744839e-06,"B.LvsP.SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN"
29,"Down",3.30486805071302e-08,2.18085902707595e-06,"B.LvsP.COLLER_MYC_TARGETS_UP"
29,"Up",3.31329640575836e-08,2.18085902707595e-06,"B.LvsP.REACTOME_CHOLESTEROL_BIOSYNTHESIS"
106,"Down",4.17418446080636e-08,2.71518422162333e-06,"B.LvsP.RHODES_CANCER_META_SIGNATURE"
251,"Down",5.53385993859356e-08,3.55775716284695e-06,"B.LvsP.WONG_MITOCHONDRIA_GENE_MODULE"
56,"Down",5.69268092099098e-08,3.61779687496082e-06,"B.LvsP.FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP"
66,"Up",5.81312335551735e-08,3.65235898098357e-06,"B.LvsP.NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON"
26,"Down",6.15851003394674e-08,3.82588786266197e-06,"B.LvsP.SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_DN"
209,"Down",7.62423897418687e-08,4.68382414314213e-06,"B.LvsP.YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14"
35,"Up",8.17090766451063e-08,4.96449983264607e-06,"B.LvsP.SCHMIDT_POR_TARGETS_IN_LIMB_BUD_UP"
131,"Down",8.354869656295e-08,5.02109503583207e-06,"B.LvsP.RHODES_UNDIFFERENTIATED_CANCER"
70,"Down",8.92469023475306e-08,5.30587229117739e-06,"B.LvsP.YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP"
274,"Down",9.63484320111876e-08,5.66713277223251e-06,"B.LvsP.SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP"
147,"Down",1.14791289279494e-07,6.68085303606656e-06,"B.LvsP.PUJANA_BRCA_CENTERED_NETWORK"
295,"Down",1.31442134001106e-07,7.5702454051262e-06,"B.LvsP.LI_AMPLIFIED_IN_LUNG_CANCER"
99,"Down",1.578437178655e-07,8.99709191833347e-06,"B.LvsP.LY_AGING_OLD_DN"
59,"Down",1.92859367940977e-07,1.08808106667925e-05,"B.LvsP.REACTOME_COMPLEX_I_BIOGENESIS"
50,"Down",2.41400610075493e-07,1.34818583142162e-05,"B.LvsP.PID_AURORA_B_PATHWAY"
108,"Down",2.49886664089119e-07,1.38162336574874e-05,"B.LvsP.PID_MYC_ACTIV_PATHWAY"
72,"Down",2.64463522700166e-07,1.44774140297942e-05,"B.LvsP.REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX"
68,"Down",3.43870282488016e-07,1.8639792077218e-05,"B.LvsP.REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21"
192,"Down",3.75121707142753e-07,2.01363875610901e-05,"B.LvsP.LE_EGR2_TARGETS_UP"
361,"Down",3.928104515804e-07,2.08831633345003e-05,"B.LvsP.MARKEY_RB1_ACUTE_LOF_UP"
393,"Down",4.2156769569609e-07,2.21985503762255e-05,"B.LvsP.MUELLER_PLURINET"
173,"Down",4.38727728285701e-07,2.28842038650155e-05,"B.LvsP.BROWN_MYELOID_CELL_DEVELOPMENT_DN"
77,"Down",4.59301079889792e-07,2.37334174832772e-05,"B.LvsP.REACTOME_ORC1_REMOVAL_FROM_CHROMATIN"
177,"Down",5.44575277722425e-07,2.78792288011786e-05,"B.LvsP.BURTON_ADIPOGENESIS_3"
95,"Down",5.60694154194847e-07,2.8441082371957e-05,"B.LvsP.BURTON_ADIPOGENESIS_PEAK_AT_24HR"
1053,"Down",5.84736744124311e-07,2.93909950751211e-05,"B.LvsP.PUJANA_CHEK2_PCC_NETWORK"
181,"Down",5.9242932483025e-07,2.95093850178959e-05,"B.LvsP.MISSIAGLIA_REGULATED_BY_METHYLATION_DN"
134,"Down",6.42528749884671e-07,3.17191201617174e-05,"B.LvsP.FERRANDO_T_ALL_WITH_MLL_ENL_FUSION_DN"
156,"Down",7.28562172830142e-07,3.56479668458217e-05,"B.LvsP.YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_11"
96,"Down",7.66585166536593e-07,3.71793805770247e-05,"B.LvsP.REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY"
32,"Down",7.90728683930178e-07,3.80168599430431e-05,"B.LvsP.REACTOME_G1_S_SPECIFIC_TRANSCRIPTION"
38,"Down",8.0062463785178e-07,3.81608070920904e-05,"B.LvsP.LUI_THYROID_CANCER_CLUSTER_3"
12,"Down",8.684471234875e-07,4.10396935535247e-05,"B.LvsP.REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES"
246,"Down",1.09817643871097e-06,5.14560807596014e-05,"B.LvsP.CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP"
66,"Up",1.25786313465811e-06,5.8443069508611e-05,"B.LvsP.REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF"
601,"Down",1.35130750746451e-06,6.19701244913654e-05,"B.LvsP.VECCHI_GASTRIC_CANCER_EARLY_UP"
10,"Down",1.35619190874574e-06,6.19701244913654e-05,"B.LvsP.BIOCARTA_ETC_PATHWAY"
60,"Down",1.39169483116407e-06,6.30711534549683e-05,"B.LvsP.REACTOME_DEGRADATION_OF_AXIN"
14,"Down",1.53859316712196e-06,6.91616391952627e-05,"B.LvsP.MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP"
134,"Down",1.66479857671722e-06,7.36407686122027e-05,"B.LvsP.MORI_PRE_BI_LYMPHOCYTE_UP"
96,"Down",1.66487539817785e-06,7.36407686122027e-05,"B.LvsP.REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS"
53,"Down",1.76489908592463e-06,7.72093067259359e-05,"B.LvsP.REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES"
58,"Down",1.77348199569431e-06,7.72093067259359e-05,"B.LvsP.ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN"
75,"Down",1.86704225727766e-06,8.06474737538138e-05,"B.LvsP.FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN"
135,"Down",2.11257478781463e-06,9.05459379986597e-05,"B.LvsP.REACTOME_DNA_REPLICATION"
187,"Down",2.50111547929775e-06,0.000104792220227057,"B.LvsP.REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
134,"Down",2.5038620908616e-06,0.000104792220227057,"B.LvsP.CHICAS_RB1_TARGETS_LOW_SERUM"
66,"Down",2.50425702527626e-06,0.000104792220227057,"B.LvsP.REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING"
430,"Down",2.52077505700824e-06,0.000104792220227057,"B.LvsP.TARTE_PLASMA_CELL_VS_PLASMABLAST_DN"
19,"Down",2.68584746445023e-06,0.000110821273365264,"B.LvsP.MOOTHA_TCA"
18,"Down",2.71823860150269e-06,0.000111326972057099,"B.LvsP.LI_WILMS_TUMOR_ANAPLASTIC_UP"
63,"Down",3.09133238571465e-06,0.000125676299710414,"B.LvsP.KAUFFMANN_MELANOMA_RELAPSE_UP"
303,"Down",3.21578802605558e-06,0.000129781693401907,"B.LvsP.REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA"
190,"Up",3.41492525274417e-06,0.00013634129038773,"B.LvsP.SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5"
243,"Down",3.42764322009305e-06,0.00013634129038773,"B.LvsP.REACTOME_MRNA_SPLICING"
17,"Down",3.54706725141112e-06,0.000140083820236086,"B.LvsP.BIOCARTA_SM_PATHWAY"
237,"Down",3.63106300248239e-06,0.000142384023693086,"B.LvsP.LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN"
31,"Down",3.97493878590805e-06,0.000154770679910462,"B.LvsP.REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES"
173,"Down",4.24343087341753e-06,0.00016406943565822,"B.LvsP.CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP"
48,"Down",4.73336667297131e-06,0.000181741557880961,"B.LvsP.DELPUECH_FOXO3_TARGETS_DN"
80,"Down",4.8117505684523e-06,0.000183477026848088,"B.LvsP.TONG_INTERACT_WITH_PTTG1"
104,"Down",5.43839275383913e-06,0.000205951188602579,"B.LvsP.LI_DCP2_BOUND_MRNA"
30,"Down",5.57081943524954e-06,0.000209531024880916,"B.LvsP.CAIRO_PML_TARGETS_BOUND_BY_MYC_UP"
659,"Down",5.86440077856388e-06,0.000219082918274863,"B.LvsP.SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6"
67,"Down",6.91355976568e-06,0.000256544107009696,"B.LvsP.REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA"
9,"Down",7.16090757630281e-06,0.000263951053262522,"B.LvsP.SEMBA_FHIT_TARGETS_DN"
31,"Down",7.27218703636185e-06,0.000266277629960561,"B.LvsP.REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION"
42,"Down",7.778407193987e-06,0.000282939561681277,"B.LvsP.REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS"
25,"Down",8.81156919454492e-06,0.000318425922069535,"B.LvsP.SMID_BREAST_CANCER_LUMINAL_A_DN"
411,"Down",9.08294620751489e-06,0.000326101360917856,"B.LvsP.GRADE_COLON_AND_RECTAL_CANCER_UP"
103,"Down",9.23660735607337e-06,0.000329478723043417,"B.LvsP.MORI_MATURE_B_LYMPHOCYTE_DN"
265,"Down",9.86686161006873e-06,0.000349704345141475,"B.LvsP.SHEPARD_CRUSH_AND_BURN_MUTANT_UP"
101,"Down",1.00265344163429e-05,0.000352028274700795,"B.LvsP.FURUKAWA_DUSP6_TARGETS_PCI35_DN"
64,"Down",1.00597698322889e-05,0.000352028274700795,"B.LvsP.REACTOME_METABOLISM_OF_POLYAMINES"
83,"Down",1.05039861055582e-05,0.000365261252689506,"B.LvsP.MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_DN"
29,"Down",1.06224395352114e-05,0.000367071676188648,"B.LvsP.MULLIGAN_NTF3_SIGNALING_VIA_INSR_AND_IGF1R_UP"
82,"Down",1.07499496411178e-05,0.000369170630843109,"B.LvsP.REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT"
64,"Down",1.24606985064863e-05,0.000425279024952855,"B.LvsP.REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY"
48,"Down",1.31852770204947e-05,0.000447247832185982,"B.LvsP.HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP"
81,"Down",1.36811495300922e-05,0.00046115044846006,"B.LvsP.SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP"
42,"Down",1.37619504423783e-05,0.00046115044846006,"B.LvsP.REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS"
528,"Down",1.39411977206222e-05,0.000464342663839277,"B.LvsP.RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN"
106,"Down",1.44755852961679e-05,0.000479254557500073,"B.LvsP.BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2"
21,"Up",1.47397739486207e-05,0.000483072927934713,"B.LvsP.NIKOLSKY_BREAST_CANCER_21Q22_AMPLICON"
32,"Down",1.47656583145174e-05,0.000483072927934713,"B.LvsP.REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX"
7,"Down",1.51539414467241e-05,0.000492859660346692,"B.LvsP.REACTOME_PHOSPHORYLATION_OF_EMI1"
496,"Down",1.62186068398856e-05,0.000521492206589464,"B.LvsP.MOOTHA_HUMAN_MITODB_6_2002"
70,"Up",1.62229443901949e-05,0.000521492206589464,"B.LvsP.REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE"
166,"Down",1.7252838956113e-05,0.000551392754845947,"B.LvsP.KEGG_SPLICEOSOME"
1217,"Down",1.78724586868533e-05,0.000567912782066736,"B.LvsP.FISCHER_DREAM_TARGETS"
158,"Down",2.02660671837757e-05,0.000640291916909119,"B.LvsP.NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP"
39,"Down",2.08210708382275e-05,0.000654089208321361,"B.LvsP.REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN"
27,"Down",2.09769139176781e-05,0.000655261904242047,"B.LvsP.REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE"
679,"Down",2.1293316411747e-05,0.000661408687868253,"B.LvsP.HSIAO_HOUSEKEEPING_GENES"
151,"Down",2.24524880150723e-05,0.000692735413683345,"B.LvsP.MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP"
51,"Down",2.25524280092245e-05,0.000692735413683345,"B.LvsP.BILANGES_SERUM_RESPONSE_TRANSLATION"
68,"Down",2.27884067251104e-05,0.000696116578912349,"B.LvsP.REACTOME_INTERLEUKIN_10_SIGNALING"
445,"Down",2.37690370226887e-05,0.000722082448892558,"B.LvsP.HORIUCHI_WTAP_TARGETS_DN"
67,"Down",2.49017933929129e-05,0.000752360741362924,"B.LvsP.REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING"
213,"Down",2.59715830953666e-05,0.000778885027499726,"B.LvsP.RUIZ_TNC_TARGETS_DN"
25,"Up",2.60614451234309e-05,0.000778885027499726,"B.LvsP.REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY"
415,"Down",2.67816887833157e-05,0.000796107297220175,"B.LvsP.FOURNIER_ACINAR_DEVELOPMENT_LATE_2"
33,"Down",2.8270396019625e-05,0.000835866414933191,"B.LvsP.KEGG_CITRATE_CYCLE_TCA_CYCLE"
79,"Down",2.95666034414596e-05,0.000869541225679946,"B.LvsP.HESS_TARGETS_OF_HOXA9_AND_MEIS1_UP"
201,"Down",3.04703670188727e-05,0.000891379149456863,"B.LvsP.KEGG_HUNTINGTONS_DISEASE"
278,"Down",3.16325149188076e-05,0.0009205061841373,"B.LvsP.FUJII_YBX1_TARGETS_DN"
31,"Down",3.31743810727564e-05,0.00096032017251974,"B.LvsP.REACTOME_G0_AND_EARLY_G1"
28,"Down",3.34401451071797e-05,0.000962971678633315,"B.LvsP.REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION"
58,"Down",3.40468558058577e-05,0.000975363034977137,"B.LvsP.REACTOME_SNRNP_ASSEMBLY"
22,"Up",3.48118760144848e-05,0.000992138466412818,"B.LvsP.BIOCARTA_CALCINEURIN_PATHWAY"
92,"Down",3.56238373738313e-05,0.00100986181738681,"B.LvsP.TIEN_INTESTINE_PROBIOTICS_6HR_UP"
157,"Down",3.57990443493966e-05,0.00100986181738681,"B.LvsP.MORI_LARGE_PRE_BII_LYMPHOCYTE_UP"
128,"Up",3.63265159250975e-05,0.00101953962715667,"B.LvsP.REACTOME_RAB_REGULATION_OF_TRAFFICKING"
15,"Down",3.66648489342006e-05,0.00102383813008684,"B.LvsP.LIANG_SILENCED_BY_METHYLATION_DN"
268,"Down",3.7577345700468e-05,0.00104234687562613,"B.LvsP.KIM_MYC_AMPLIFICATION_TARGETS_UP"
55,"Down",3.77047160653329e-05,0.00104234687562613,"B.LvsP.HU_ANGIOGENESIS_DN"
237,"Up",3.87815640556461e-05,0.0010667824261874,"B.LvsP.KIM_MYCN_AMPLIFICATION_TARGETS_DN"
13,"Down",3.96546724477631e-05,0.00108539942556278,"B.LvsP.BIOCARTA_RANMS_PATHWAY"
272,"Down",4.0911765347973e-05,0.00111429138231006,"B.LvsP.BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP"
61,"Down",4.19189857782306e-05,0.00113612780572469,"B.LvsP.PID_PLK1_PATHWAY"
64,"Down",4.77734872566925e-05,0.00128848590752318,"B.LvsP.REACTOME_DEGRADATION_OF_DVL"
62,"Down",4.83021439139795e-05,0.00129642016359414,"B.LvsP.GREENBAUM_E2A_TARGETS_UP"
178,"Down",4.95446966733932e-05,0.00132334602853716,"B.LvsP.REACTOME_S_PHASE"
60,"Down",5.04662664116652e-05,0.00134148070668316,"B.LvsP.LANDIS_BREAST_CANCER_PROGRESSION_UP"
107,"Down",6.09054017481268e-05,0.00161122471897317,"B.LvsP.GAURNIER_PSMD4_TARGETS"
59,"Down",6.13745548688226e-05,0.00161590435176057,"B.LvsP.REACTOME_MRNA_SPLICING_MINOR_PATHWAY"
75,"Down",6.17809446271128e-05,0.0016188949897787,"B.LvsP.REACTOME_REGULATION_OF_RAS_BY_GAPS"
69,"Down",6.22051731978212e-05,0.00162232265382431,"B.LvsP.JIANG_AGING_HYPOTHALAMUS_UP"
